doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01002012___6c0f4ca58e,白门楼,1,【第一场】,【第一场】,兄弟情义,忠义,1,刘备；张飞,刘备、关羽、张飞兄弟三人同赴辕门，准备听从曹操调令发兵徐州，展现兄弟齐心共保汉室的决心。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,2,【第二场】,【第二场】,权力争夺,权力争夺,1,乐进；众人；刘备；曹操；曹洪；李典；许褚,曹操与刘备会合，众将起霸点兵，曹操下令攻打徐州，刘备领命协同众将捉拿吕布。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,2,【第二场】,【第二场】,军事征伐,战争,1,乐进；众人；刘备；曹操；曹洪；李典；许褚,曹操与刘备会合，众将起霸点兵，曹操下令攻打徐州，刘备领命协同众将捉拿吕布。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,2,【第二场】,【第二场】,联盟与背叛,联盟与背叛,1,乐进；众人；刘备；曹操；曹洪；李典；许褚,曹操与刘备会合，众将起霸点兵，曹操下令攻打徐州，刘备领命协同众将捉拿吕布。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,3,【第三场】,【第三场】,沉溺酒色,沉溺酒色,1,吕布；小太监；张辽；貂蝉；陈宫,吕布在徐州与貂蝉饮酒作乐，陈宫、张辽先后急报曹操来袭及侯成盗马盗戟，吕布惊觉危机，貂蝉假意担忧。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,3,【第三场】,【第三场】,危机降临,悲情,1,吕布；小太监；张辽；貂蝉；陈宫,吕布在徐州与貂蝉饮酒作乐，陈宫、张辽先后急报曹操来袭及侯成盗马盗戟，吕布惊觉危机，貂蝉假意担忧。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,3,【第三场】,【第三场】,忠奸对立,忠义,1,吕布；小太监；张辽；貂蝉；陈宫,吕布在徐州与貂蝉饮酒作乐，陈宫、张辽先后急报曹操来袭及侯成盗马盗戟，吕布惊觉危机，貂蝉假意担忧。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,4,【第四场】,【第四场】,战争,战争,1,乐进；关羽；刘备；吕布；张飞；曹洪；李典；许褚,吕布与曹操阵营将领会阵开打，刘备、关羽、张飞加入战斗，双方混战，吕布一方处于劣势。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,4,【第四场】,【第四场】,对抗,对抗,1,乐进；关羽；刘备；吕布；张飞；曹洪；李典；许褚,吕布与曹操阵营将领会阵开打，刘备、关羽、张飞加入战斗，双方混战，吕布一方处于劣势。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,4,【第四场】,【第四场】,英雄末路,英雄末路,1,乐进；关羽；刘备；吕布；张飞；曹洪；李典；许褚,吕布与曹操阵营将领会阵开打，刘备、关羽、张飞加入战斗，双方混战，吕布一方处于劣势。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,5,【第五场】,【第五场】,忠义,忠义,1,张辽；陈宫；龙套,陈宫与张辽商议应对敌军，陈宫命张辽抵挡，张辽出战被擒。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,5,【第五场】,【第五场】,智谋,权谋,1,张辽；陈宫；龙套,陈宫与张辽商议应对敌军，陈宫命张辽抵挡，张辽出战被擒。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,5,【第五场】,【第五场】,战争,战争,1,张辽；陈宫；龙套,陈宫与张辽商议应对敌军，陈宫命张辽抵挡，张辽出战被擒。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,6,【第六场】,【第六场】,命运无常,使命,1,乐进；曹洪；李典；许褚；貂蝉,貂蝉独自上场，悲呼温侯，随即被李典、乐进、许褚、曹洪四将擒获，剧情急转直下。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,6,【第六场】,【第六场】,英雄末路,英雄末路,1,乐进；曹洪；李典；许褚；貂蝉,貂蝉独自上场，悲呼温侯，随即被李典、乐进、许褚、曹洪四将擒获，剧情急转直下。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,6,【第六场】,【第六场】,女性悲剧,悲情,1,乐进；曹洪；李典；许褚；貂蝉,貂蝉独自上场，悲呼温侯，随即被李典、乐进、许褚、曹洪四将擒获，剧情急转直下。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,7,【第七场】,【第七场】,忠义,忠义,1,乐进；曹洪；李典；许褚；陈宫,陈宫上场悲叹温侯，随即被李典、乐进、许褚、曹洪擒获，剧情从陈宫的绝望转向被俘的结局。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,7,【第七场】,【第七场】,败亡,悲情,1,乐进；曹洪；李典；许褚；陈宫,陈宫上场悲叹温侯，随即被李典、乐进、许褚、曹洪擒获，剧情从陈宫的绝望转向被俘的结局。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,7,【第七场】,【第七场】,命运,使命,1,乐进；曹洪；李典；许褚；陈宫,陈宫上场悲叹温侯，随即被李典、乐进、许褚、曹洪擒获，剧情从陈宫的绝望转向被俘的结局。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,8,【第八场】,【第八场】,英雄末路,英雄末路,1,乐进；关羽；刘备；吕布；张飞；曹洪；李典；许褚,吕布因陈宫、张辽被擒，貂蝉被抢，陷入困境，但仍决意舍死忘生一战，最终被众将擒获。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,8,【第八场】,【第八场】,决死抗争,悲情,1,乐进；关羽；刘备；吕布；张飞；曹洪；李典；许褚,吕布因陈宫、张辽被擒，貂蝉被抢，陷入困境，但仍决意舍死忘生一战，最终被众将擒获。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,8,【第八场】,【第八场】,众叛亲离,众叛亲离,1,乐进；关羽；刘备；吕布；张飞；曹洪；李典；许褚,吕布因陈宫、张辽被擒，貂蝉被抢，陷入困境，但仍决意舍死忘生一战，最终被众将擒获。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,9,【第九场】,【第九场】,忠义与背叛,忠义,1,关羽；刘备；吕布；张辽；张飞；曹操；貂蝉；陈宫；龙套甲,曹操擒获吕布、陈宫、张辽，审问并处置三人。刘备暗示曹操杀吕布以防后患，吕布被斩，陈宫慷慨赴死，张辽不屈。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,9,【第九场】,【第九场】,权谋与决断,权谋,1,关羽；刘备；吕布；张辽；张飞；曹操；貂蝉；陈宫；龙套甲,曹操擒获吕布、陈宫、张辽，审问并处置三人。刘备暗示曹操杀吕布以防后患，吕布被斩，陈宫慷慨赴死，张辽不屈。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,9,【第九场】,【第九场】,英雄末路,英雄末路,1,关羽；刘备；吕布；张辽；张飞；曹操；貂蝉；陈宫；龙套甲,曹操擒获吕布、陈宫、张辽，审问并处置三人。刘备暗示曹操杀吕布以防后患，吕布被斩，陈宫慷慨赴死，张辽不屈。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,9,【第九场】,【第九场】,生死抉择,悲情,1,关羽；刘备；吕布；张辽；张飞；曹操；貂蝉；陈宫；龙套甲,曹操擒获吕布、陈宫、张辽，审问并处置三人。刘备暗示曹操杀吕布以防后患，吕布被斩，陈宫慷慨赴死，张辽不屈。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,0,序幕/前置内容,序幕/前置内容,忠义,忠义,1,,# 《白门楼》,keyword
pdf_01000000__01002012___6c0f4ca58e,白门楼,0,序幕/前置内容,序幕/前置内容,战争,战争,1,,# 《白门楼》,keyword
pdf_01000000__01002012___6c0f4ca58e,白门楼,0,序幕/前置内容,序幕/前置内容,情爱,情爱,1,,# 《白门楼》,keyword
