doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01001012___3dcca783f4,黄鹤楼,1,【第一场】,【第一场】,智谋与冒险,权谋,1,刘备；刘封；周瑜；四红龙套；张飞；甘宁；诸葛亮；赵云,刘备接东吴书信，诸葛亮识破周瑜奸计，仍劝刘备过江赴宴，仅派赵云保驾。张飞怒责诸葛亮，周瑜准备江口相迎。,llm
pdf_01000000__01001012___3dcca783f4,黄鹤楼,1,【第一场】,【第一场】,忠诚与质疑,忠义,1,刘备；刘封；周瑜；四红龙套；张飞；甘宁；诸葛亮；赵云,刘备接东吴书信，诸葛亮识破周瑜奸计，仍劝刘备过江赴宴，仅派赵云保驾。张飞怒责诸葛亮，周瑜准备江口相迎。,llm
pdf_01000000__01001012___3dcca783f4,黄鹤楼,2,【第三场】,【第三场】,权谋,权谋,1,刘备；周瑜；甘宁；赵云,刘备与周瑜在江上会面，周瑜邀请刘备过船，刘备谨慎应对，赵云随行护卫，双方表面客气但暗藏机锋。,llm
pdf_01000000__01001012___3dcca783f4,黄鹤楼,2,【第三场】,【第三场】,试探,试探,1,刘备；周瑜；甘宁；赵云,刘备与周瑜在江上会面，周瑜邀请刘备过船，刘备谨慎应对，赵云随行护卫，双方表面客气但暗藏机锋。,llm
pdf_01000000__01001012___3dcca783f4,黄鹤楼,2,【第三场】,【第三场】,同盟与对抗,同盟与对抗,1,刘备；周瑜；甘宁；赵云,刘备与周瑜在江上会面，周瑜邀请刘备过船，刘备谨慎应对，赵云随行护卫，双方表面客气但暗藏机锋。,llm
pdf_01000000__01001012___3dcca783f4,黄鹤楼,3,【第四场】,【第四场】,权谋,权谋,1,刘备；周瑜；甘宁,周瑜设宴黄鹤楼，以吴侯之命为由挽留刘备，刘备欲探病被阻，二人表面客套实则暗藏机锋。,llm
pdf_01000000__01001012___3dcca783f4,黄鹤楼,3,【第四场】,【第四场】,试探,试探,1,刘备；周瑜；甘宁,周瑜设宴黄鹤楼，以吴侯之命为由挽留刘备，刘备欲探病被阻，二人表面客套实则暗藏机锋。,llm
pdf_01000000__01001012___3dcca783f4,黄鹤楼,3,【第四场】,【第四场】,鸿门宴,鸿门宴,1,刘备；周瑜；甘宁,周瑜设宴黄鹤楼，以吴侯之命为由挽留刘备，刘备欲探病被阻，二人表面客套实则暗藏机锋。,llm
pdf_01000000__01001012___3dcca783f4,黄鹤楼,4,【第五场】,【第五场】,智谋,权谋,1,刘备；周瑜；赵云；鲁肃,周瑜设宴黄鹤楼，向刘备索要荆州，刘备推诿，赵云与周瑜激烈争执，赵云用计盗得令箭，护刘备脱险，周瑜发现后大怒。,llm
pdf_01000000__01001012___3dcca783f4,黄鹤楼,4,【第五场】,【第五场】,忠诚,忠义,1,刘备；周瑜；赵云；鲁肃,周瑜设宴黄鹤楼，向刘备索要荆州，刘备推诿，赵云与周瑜激烈争执，赵云用计盗得令箭，护刘备脱险，周瑜发现后大怒。,llm
pdf_01000000__01001012___3dcca783f4,黄鹤楼,4,【第五场】,【第五场】,冲突,冲突,1,刘备；周瑜；赵云；鲁肃,周瑜设宴黄鹤楼，向刘备索要荆州，刘备推诿，赵云与周瑜激烈争执，赵云用计盗得令箭，护刘备脱险，周瑜发现后大怒。,llm
pdf_01000000__01001012___3dcca783f4,黄鹤楼,4,【第五场】,【第五场】,权力争夺,权力争夺,1,刘备；周瑜；赵云；鲁肃,周瑜设宴黄鹤楼，向刘备索要荆州，刘备推诿，赵云与周瑜激烈争执，赵云用计盗得令箭，护刘备脱险，周瑜发现后大怒。,llm
pdf_01000000__01001012___3dcca783f4,黄鹤楼,0,序幕/前置内容,序幕/前置内容,忠义,忠义,1,,# 《黄鹤楼》；# （一名：《过江赴宴》；一名：《竹中藏令》）,keyword
pdf_01000000__01001012___3dcca783f4,黄鹤楼,0,序幕/前置内容,序幕/前置内容,权谋,权谋,1,,# 《黄鹤楼》；# （一名：《过江赴宴》；一名：《竹中藏令》）,keyword
pdf_01000000__01001012___3dcca783f4,黄鹤楼,0,序幕/前置内容,序幕/前置内容,战争,战争,1,,# 《黄鹤楼》；# （一名：《过江赴宴》；一名：《竹中藏令》）,keyword
pdf_01000000__01001012___3dcca783f4,黄鹤楼,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《黄鹤楼》；# （一名：《过江赴宴》；一名：《竹中藏令》）,keyword
pdf_01000000__01001012___3dcca783f4,黄鹤楼,0,序幕/前置内容,序幕/前置内容,情爱,情爱,1,,# 《黄鹤楼》；# （一名：《过江赴宴》；一名：《竹中藏令》）,keyword
pdf_01000000__01001012___3dcca783f4,黄鹤楼,0,序幕/前置内容,序幕/前置内容,离散,离散,1,,# 《黄鹤楼》；# （一名：《过江赴宴》；一名：《竹中藏令》）,keyword
