doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01002012___6c0f4ca58e,白门楼,1,【第一场】,刘备,张飞,对话/应答,对话,2,桃园义气结金兰，,pdf_01000000__01002012___6c0f4ca58e__line__000025,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,1,【第一场】,张飞,刘备,对话/应答,对话,1,保定汉室锦家邦。,pdf_01000000__01002012___6c0f4ca58e__line__000029,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,2,【第二场】,曹洪,李典,对话/应答,对话,3,杀气英豪，儿郎虎豹，军威号，地动山摇，要把狼烟扫。,pdf_01000000__01002012___6c0f4ca58e__line__000051,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,2,【第二场】,李典,乐进,对话/应答,对话,1,李典。,pdf_01000000__01002012___6c0f4ca58e__line__000053,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,2,【第二场】,乐进,许褚,对话/应答,对话,1,乐进。,pdf_01000000__01002012___6c0f4ca58e__line__000055,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,2,【第二场】,许褚,曹洪,对话/应答,对话,1,许褚。,pdf_01000000__01002012___6c0f4ca58e__line__000057,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,2,【第二场】,李典,曹洪,对话/应答,对话,2,众位将军请了。,pdf_01000000__01002012___6c0f4ca58e__line__000061,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,2,【第二场】,曹洪,曹操,对话/应答,对话,1,请。,pdf_01000000__01002012___6c0f4ca58e__line__000075,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,2,【第二场】,曹操,众人,对话/应答,对话,3,"忆昔扶汉朝,威风把名标。",pdf_01000000__01002012___6c0f4ca58e__line__000075,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,2,【第二场】,众人,曹操,对话/应答,对话,3,参见丞相。,pdf_01000000__01002012___6c0f4ca58e__line__000075,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,2,【第二场】,曹操,刘备,对话/应答,对话,2,"汉室空有主,兵权吾为先。怀志冲霄汉,横行宇宙间。",pdf_01000000__01002012___6c0f4ca58e__line__000075,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,2,【第二场】,刘备,曹操,对话/应答,对话,2,"请丞相发令,备当协力攻打徐州。",pdf_01000000__01002012___6c0f4ca58e__line__000075,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,2,【第二场】,曹操,吕布,命令/请求,命令,1,"好,就命使君带领众将,攻打徐州,捉拿吕布满门,不得有误。",pdf_01000000__01002012___6c0f4ca58e__line__000075,mention,
pdf_01000000__01002012___6c0f4ca58e,白门楼,3,【第三场】,吕布,貂蝉,对话/应答,对话,3,"每日里闲无事逍遥饮酒,到今日称心愿得坐徐州。只恨的曹操贼屡次入寇,他那里兴人马来夺徐州。狗奸贼要擒我怎能得够?某若是抖威风群贼命休。内侍臣看过了琼浆美酒,我二人",pdf_01000000__01002012___6c0f4ca58e__line__000081,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,3,【第三场】,貂蝉,陈宫,对话/应答,对话,1,"看酒。老王允定下了连环巧计,我这里用假意谅他不知。但愿得曹丞相大兵齐至,破徐州俱擒去万事全休。",pdf_01000000__01002012___6c0f4ca58e__line__000081,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,3,【第三场】,陈宫,小太监,对话/应答,对话,4,"曹操领兵夺徐州,迷恋宫闱吕温侯。将身来在宫门口,见了公公说从头。",pdf_01000000__01002012___6c0f4ca58e__line__000081,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,3,【第三场】,小太监,陈宫,对话/应答,对话,4,"原来是公台,请少待,咱家与你启奏。",pdf_01000000__01002012___6c0f4ca58e__line__000081,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,3,【第三场】,小太监,貂蝉,对话/应答,对话,1,启娘娘:公台有本启奏。,pdf_01000000__01002012___6c0f4ca58e__line__000081,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,3,【第三场】,貂蝉,小太监,对话/应答,对话,1,"温侯酒醉,有本改日再奏。",pdf_01000000__01002012___6c0f4ca58e__line__000081,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,3,【第三场】,陈宫,貂蝉,对话/应答,对话,1,哎吓!,pdf_01000000__01002012___6c0f4ca58e__line__000083,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,3,【第三场】,貂蝉,张辽,对话/应答,对话,1,温侯请酒。,pdf_01000000__01002012___6c0f4ca58e__line__000083,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,3,【第三场】,张辽,小太监,对话/应答,对话,3,"忙将盗马事,报与温侯知。",pdf_01000000__01002012___6c0f4ca58e__line__000083,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,3,【第三场】,小太监,张辽,对话/应答,对话,3,"原来是张将军,到此何事?",pdf_01000000__01002012___6c0f4ca58e__line__000083,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,3,【第三场】,张辽,吕布,对话/应答,对话,2,闪开了!启温侯:大事不好了!,pdf_01000000__01002012___6c0f4ca58e__line__000083,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,3,【第三场】,吕布,张辽,对话/应答,对话,1,"吓,何事惊慌?",pdf_01000000__01002012___6c0f4ca58e__line__000083,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,3,【第三场】,貂蝉,吕布,对话/应答,对话,1,好吓!,pdf_01000000__01002012___6c0f4ca58e__line__000083,adjacency,
pdf_01000000__01002012___6c0f4ca58e,白门楼,3,【第三场】,吕布,曹操,命令/请求,命令,1,"每日里闲无事逍遥饮酒,到今日称心愿得坐徐州。只恨的曹操贼屡次入寇,他那里兴人马来夺徐州。狗奸贼要擒我怎能得够?某若是抖威风群贼命休。内侍臣看过了琼浆美酒,我二人",pdf_01000000__01002012___6c0f4ca58e__line__000081,mention,
pdf_01000000__01002012___6c0f4ca58e,白门楼,3,【第三场】,陈宫,曹操,提及,提及,1,"曹操领兵夺徐州,迷恋宫闱吕温侯。将身来在宫门口,见了公公说从头。",pdf_01000000__01002012___6c0f4ca58e__line__000081,mention,
pdf_01000000__01002012___6c0f4ca58e,白门楼,5,【第五场】,陈宫,张辽,对话/应答,对话,2,"眼观旌旗起,",pdf_01000000__01002012___6c0f4ca58e__line__000091,adjacency,
