doc_id,doc_title,scene_id,scene_index,scene,line_no,start_line,end_line,location,time_hint,main_event,dominant_action,summary,conflict_stage,tension_level,key_characters,theme_labels,scene_function,narrative_turning_point,characters_present,line_count,dialogue_count,lyric_count,dialogue_density,lyric_density,speech_density,stage_direction_count,narration_count,llm_error
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__000,0,序幕/前置内容,1,1,36,,,# 《御碑亭》；# （一名：《金榜乐》；一名：《王有道休妻》）,对话,# 《御碑亭》；# （一名：《金榜乐》；一名：《王有道休妻》）,铺垫,0,,权谋；战争；家国；亲情；公案；情爱,引子,,,2,0,0,0.0,0.0,0.0,0,2,
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__001,1,【第一场】,37,37,44,官署或府邸,白天,申嵩准备前往贡院主持科举考试,吩咐开道,申嵩询问二堂役应科行囊是否搬去，确认后吩咐开道贡院，准备前往贡院主持科举考试。,铺垫,1,申嵩；二堂役,科举；官场秩序,引子,无转折，为后续科举情节做铺垫,申嵩；二堂役,8,6,0,0.75,0.0,0.75,2,0,
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__002,2,【第二场】,45,45,48,王有道家中,会试之年，清明时节,王有道辞别妻妹赴考，孟月华被接回娘家祭祖,辞行与托付,王有道赴京赶考，孟月华被娘家接回祭祖，托付小姑王淑英看家，为后续事件埋下伏笔。,铺垫,1,王有道；孟月华；王淑英；孟德禄,科举功名；亲情；亲情,铺垫,孟月华决定回娘家祭祖，留下王淑英独守门户，为后续冲突埋下伏笔,王有道；孟月华；王淑英；孟德禄,43,25,18,6.25,4.5,10.75,0,0,
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__003,3,【第三场】,49,49,54,未指定,未指定,柳生春登场,登场,柳生春独自上场，未见其他角色，无具体情节推进，仅为角色登场过渡。,过渡,1,柳生春,家国；亲情；情爱,引子,无,,1,0,0,0.0,0.0,0.0,1,0,
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__004,4,【第四场】,55,55,64,孟家、御碑亭,清明佳节、夜晚至五更,孟月华与柳生春因大雨同避御碑亭，一夜恪守礼法。,避雨与守礼,孟月华清明祭祖后欲归家，因丈夫进场、妹子独守而心忧。德禄装病，月华独行遇雨，与柳生春同避御碑亭，一夜相安无事。,发展,3,孟月华；柳生春；孟明时；孟夫人；孟德禄,礼法；贞节；使命；亲情,推进,月华独行遇雨，与陌生男子共处碑亭，为后续误会埋下伏笔。,孟明时；孟夫人；孟月华；孟德禄；柳生春,37,29,8,2.9,0.8,3.7,0,0,
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__005,5,【第六场】,65,65,68,未知,未知,功曹与朱衣神一同过场,过场,功曹与朱衣神一同过场，为后续剧情铺垫神界视角，暗示天意或命运的安排。,铺垫,1,功曹；朱衣神,使命；神界干预,过渡,无转折，仅为过渡性场景,,1,0,0,0.0,0.0,0.0,1,0,
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__006,6,【第七场】,69,69,108,考场及孟月华家门外,发榜前，清晨,申嵩取中阴骘之卷；孟月华回家向王淑英解释御碑亭之事,申嵩阅卷取中；孟月华解释,申嵩阅卷，因朱衣神点掇而取中阴骘浩大之卷；孟月华归家，向王淑英解释御碑亭夜宿之事，王淑英疑其与书生有私。,发展,3,申嵩；孟月华；王淑英,阴骘报应；名节与猜疑；使命,推进,申嵩因鬼神点掇而取中文章较弱的考生，埋下后续情节伏笔；王淑英对孟月华的怀疑升级，为冲突做铺垫。,审嵩；龙套；堂役；申嵩；四房官；孟月华；王淑英,58,45,3,1.125,0.075,1.2,8,2,
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__007,7,【第九场】,109,109,112,王有道家中、孟家庄,清明后，王有道科举出场日,王有道因妻子避雨御碑亭之事休妻，后中进士。,王有道休妻,王有道听闻妻子孟月华在御碑亭与陌生男子共处一夜，心生猜忌，写下休书假称岳父母病重送妻回娘家。后王有道中进士，孟月华回娘家后得知被休，父母安慰。,冲突,4,王有道；孟月华；王淑英；孟明时；孟夫人,猜忌；贞节；科举；亲情,推进,王有道因猜忌休妻，导致夫妻分离，为后续剧情埋下伏笔。,王有道；王淑英；家院；孟月华；报子；孟明时；孟夫人,79,71,8,17.75,2.0,19.75,0,0,
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__008,8,【第十一场】,113,113,116,贡院或官署厅堂,新科进士谒见时,柳生春讲述御碑亭避雨之事，王有道得知被休之妻实为贤德，众人劝其接回。,询问与坦白,新进士谒见主考官申嵩，申嵩询问柳生春阴骘之事，柳生春讲述御碑亭避雨不欺暗室，王有道发现该妇人正是自己休弃之妻，众人劝其接回妻子。,转折,4,申嵩；柳生春；王有道,阴骘报应；暗室不欺；亲情；科举功名,反转,王有道发现被休妻子实为贤德烈女，从疑心转向悔悟，剧情发生重大转折。,申嵩；衙役；二进士；柳生春；王有道；柳生春、二进士；王有道、柳生春、二进士；进士甲,36,36,0,9.0,0.0,9.0,0,0,
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__009,9,【第十二场】,117,117,122,未指定,未指定,孟德禄抒发对王有道行为的谴责,谴责,孟德禄上场，以唱词表达对王有道抛弃妻子却金榜题名的愤慨，指责读书人无良心。,发展,2,孟德禄,道德谴责；科举与人性；情爱,推进,无转折，但强化了观众对王有道行为的负面评价,孟德禄,2,0,1,0.0,0.1667,0.1667,1,0,
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__010,10,【第十三场】,123,123,147,王有道家中,白天,王有道向孟月华认错，夫妻和好，并将妹妹许配柳生春。,赔罪与和好,王有道悔悟休妻，向孟月华赔罪，夫妻和好。王有道将妹淑英许配柳生春，当场成婚，众人庆贺。,收束,2,王有道；孟月华；柳生春；孟明时；孟夫人,亲情；悔过与宽恕；情爱；情爱,收束,夫妻关系由破裂转向和好，并促成柳生春与王淑英的婚事。,王有道；孟德禄；孟明时；孟月华；家院；二进士；柳生春；众人,33,25,4,1.0,0.16,1.16,4,0,
