doc_id,doc_title,scene_id,scene_index,scene,conflict_stage,scene_function,tension_level,tension_norm,dialogue_density,lyric_density,speech_density,narrative_turning_point,is_climax,derived_by
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__001,1,【第一场】,发展,推进,3,0.75,0.3333,0.0,0.3333,张士贵以探病为名，试图缓和与伙头军的矛盾，但双方关系仍紧张。,1,scene_metrics
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__002,2,【第二场】,铺垫,引子,1,0.25,0.0,0.0,0.0,无转折，仅为战斗序幕,0,scene_metrics
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__003,3,【第三场】,发展,推进,3,0.75,1.375,0.0,1.375,薛礼从病弱状态转为主动请战，冲突升级,1,scene_metrics
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__004,4,【第四场】,冲突,推进,4,1.0,1.2,0.2,1.4,何宗宪假充薛礼被识破，冲突升级，安殿宝决定等待薛礼一并处决。,1,scene_metrics
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__005,5,【第五场】,冲突,推进,4,1.0,0.0,0.0,0.0,无转折，直接进入战斗冲突,1,scene_metrics
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__006,6,【第六场】,发展,推进,4,1.0,0.2308,0.0,0.2308,薛礼在病重中做出决断，不顾劝阻执意出战，冲突升级。,1,scene_metrics
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__007,7,【第七场】,冲突,推进,4,1.0,0.125,0.0,0.125,薛礼登场与安殿宝直接对抗，冲突从单方面压制转为势均力敌。,1,scene_metrics
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__008,8,【第八场】,高潮,收束,3,0.75,0.3214,0.0,0.3214,战斗结束，薛礼从昏迷中醒来确认胜利，冲突收束。,1,scene_metrics
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__009,9,【第九场】,冲突,推进,3,0.75,0.2222,0.0,0.2222,张士贵公然决定冒功，加剧了与薛礼的潜在冲突。,1,scene_metrics
