doc_id,doc_title,scene_id,scene_index,scene,conflict_stage,scene_function,tension_level,tension_norm,dialogue_density,lyric_density,speech_density,narrative_turning_point,is_climax,derived_by
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__001,1,【第一场】,铺垫,过渡,1,0.2,0.0,0.0,0.0,无,0,scene_metrics
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__002,2,【第二场】,发展,推进,3,0.6,0.85,0.15,1.0,李密从怀疑到信任王伯党，并决定降唐，完成关键决断。,0,scene_metrics
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__003,3,【第五场】,过渡,过渡,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__004,4,【第六场】,转折,推进,3,0.6,5.8333,1.0,6.8333,李密从抗拒到勉强跪拜，完成身份转变，降唐事件正式启动,0,scene_metrics
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__005,5,【第七场】,发展,推进,3,0.6,9.75,0.0,9.75,李渊从欲治罪转为封赏，并采纳李世民招驸马之策,0,scene_metrics
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__006,6,【第八场】,高潮,高潮,5,1.0,4.5,0.625,5.125,李密从假装出征转为弑妻逃亡，王伯党从拒绝到被迫协助,1,scene_metrics
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__007,7,【第九场】,过渡,过渡,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__008,8,【第十场】,冲突,对峙,4,0.8,1.3333,2.1667,3.5,王伯党从追随转为公开指责，关系破裂，李密独自前行。,1,scene_metrics
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__009,9,【第十一场】,过渡,过渡,1,0.2,0.0,0.0,0.0,无显著转折，仅为场景转换。,0,scene_metrics
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__010,10,【第十二场】,冲突,对峙,4,0.8,0.2,0.4,0.6,王伯党明确拒绝归降，冲突升级为武力对抗。,1,scene_metrics
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__011,11,【第十三场】,过渡,过渡,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__012,12,【第十四场】,高潮,高潮,5,1.0,2.3333,0.0,2.3333,李密与王伯党发现身处绝境断密涧，随即被李世民下令射杀，冲突达到顶点并终结。,1,scene_metrics
