doc_id,doc_title,scene_id,scene_index,scene,line_no,start_line,end_line,location,time_hint,main_event,dominant_action,summary,conflict_stage,tension_level,key_characters,theme_labels,scene_function,narrative_turning_point,characters_present,line_count,dialogue_count,lyric_count,dialogue_density,lyric_density,speech_density,stage_direction_count,narration_count,llm_error
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__000,0,序幕/前置内容,1,1,30,,,# 《斩黄袍》 （一名：《斩郑恩》）,命令,# 《斩黄袍》 （一名：《斩郑恩》）,铺垫,0,,忠义；权谋；战争；亲情,引子,,,1,0,0,0.0,0.0,0.0,0,1,
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__001,1,【第一场】,31,31,76,王府内,先帝驾崩后,苗顺、郑恩、高怀德趁赵匡胤酒醉，将冲天冠、赭黄袍加于其身，赵匡胤酒醒后被迫称帝。,加袍劝进,赵匡胤、郑恩等商议后事，苗顺提议将皇袍加于醉酒的赵匡胤身上，赵匡胤酒醒后被迫接受皇位，众人拥立其为帝。,转折,3,赵匡胤；郑恩；苗顺；高怀德,权力交接；使命；忠义；权谋,推进,赵匡胤从不知情到被迫接受皇位，权力交接的关键转折。,赵匡胤；郑恩；报子；高怀德；苗顺；文堂甲；高怀德、苗顺；赵匡胤、郑恩；郑恩、高怀德；苗顺、郑恩、高怀德；郑高苗,49,38,2,0.8261,0.0435,0.8696,3,6,
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__002,2,【第二场】,77,77,80,未知,未知,神仙书写，二童子扶持，随后同下。,书写,二童子扶神仙上场，神仙书写后，三人一同下场，为后续剧情埋下伏笔。,铺垫,1,神仙；二童子,使命；神秘预示,引子,无显著转折，仅为神秘预示。,,1,0,0,0.0,0.0,0.0,1,0,
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__003,3,【第三场】,81,81,84,未明确,未明确,众人拜祭并持帖过场,拜祭与过场,赵匡胤、郑恩、苗顺、高怀德等人一同拜祭，随后持帖过场，众人同下，为后续剧情铺垫。,铺垫,1,赵匡胤；郑恩；苗顺；高怀德,仪式；权力交接,铺垫,无显著转折,,1,0,0,0.0,0.0,0.0,1,0,
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__004,4,【第四场】,85,85,88,汴梁,赵匡胤登基后,赵匡胤封赏功臣并出赦条，韩龙兄妹决定进妃,封赏与谋划,赵匡胤登基，封苗顺为护国军师、高怀德为尚方剑，郑恩提议出赦条安民。韩龙与韩素梅商议进妃，前往汴梁。,发展,2,赵匡胤；苗顺；高怀德；郑恩；韩龙；韩素梅,登基封赏；权力巩固；权谋,推进,韩龙兄妹决定进妃，为后续冲突埋下伏笔,苗顺；郑恩；赵匡胤；苗顺、高怀德；高怀德；韩龙；韩素梅,29,23,6,5.75,1.5,7.25,0,0,
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__005,5,【第六场】,89,89,100,金銮殿,早朝时分,赵匡胤登殿，黄门官准备启奏进妃之事,等待与登殿,黄门官在朝房等候，准备启奏河北韩龙进妃之事。赵匡胤登殿，展现帝王威仪，为后续纳妃事件铺垫。,铺垫,1,赵匡胤；黄门官,权力；纳妃,引子,无转折，为后续冲突做铺垫,黄门官；赵匡胤,4,2,0,0.1667,0.0,0.1667,2,0,
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__006,6,【第七场】,101,101,128,教场,白天,郑恩祭拜枣阳槊,祭拜,郑恩前往教场祭拜自己的兵器枣阳槊，表达对二哥登基的忠诚与自豪，为后续冲突埋下伏笔。,铺垫,1,郑恩,忠义；权力象征,引子,无显著转折，仅为日常仪式性场景,郑恩；四龙套；启三千岁,12,3,0,0.1071,0.0,0.1071,4,5,
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__007,7,【第八场】,129,129,140,金殿,白天,赵匡胤下令斩郑恩，高怀德准备武力阻刑,赵匡胤下令绑斩郑恩,郑恩因韩龙进妃之事与赵匡胤激烈争执，赵匡胤怒而将郑恩绑赴午门斩首。高怀德欲保本，但被韩素梅阻挠，决定武装阻刑。,高潮,5,赵匡胤；郑恩；韩龙；高怀德；韩素梅,忠义；权力与猜忌；家国；亲情,高潮,冲突升级：郑恩被绑赴斩，高怀德决定武装阻刑,郑恩；赵匡胤；众武士；韩龙；苗顺；高怀德；太监；韩素梅,80,70,8,5.8333,0.6667,6.5,1,1,
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__008,8,【第十场】,141,141,148,书房,未明确,郑英独坐书房，表达烦闷情绪,独坐,郑英独坐书房，内心烦闷，为后续剧情发展铺垫情绪基调。,铺垫,1,郑英,烦闷；独处,引子,无显著转折，仅为情绪铺垫,郑英,2,1,0,0.125,0.0,0.125,1,0,
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__009,9,【第十一场】,149,149,156,法场,行刑前,郑恩被斩首，郑英被仙人救走。,行刑,韩龙押郑恩法场问斩，郑英探监欲反被郑恩训斥，黄花真人救走郑英，郑恩被斩。,高潮,5,韩龙；郑恩；郑英；黄花真人,忠义；公案；忠义；使命,高潮,郑英被救走，郑恩被斩，忠臣遇害，冲突达到顶点。,韩龙；郑恩；家院；郑英；众武士；黄花真人；众人；武士,34,24,10,3.0,1.25,4.25,0,0,
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__010,10,【第十二场】,157,157,164,陶三春府中大堂,法场行刑后,陶三春闻讯后集结兵力，决意复仇。,陶三春下令众将披挂，准备攻打金殿。,陶三春得知丈夫郑恩被斩首，儿子失踪，悲痛之下命令众将披挂，准备杀上金殿报仇。,冲突,4,陶三春；家院,复仇；忠义；权力斗争,推进,陶三春从悲痛转为决断，冲突升级为武装反抗。,,3,2,0,0.25,0.0,0.25,1,0,
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__011,11,【第十三场】,165,165,178,中途路,夜晚,郑恩鬼魂向陶三春透露儿子下落，陶三春决心复仇。,陶三春率军前行，遇郑恩鬼魂，得知真相后继续进军。,郑恩鬼魂现身，告知陶三春其子被黄花真人救走，母子将在南唐重逢，陶三春悲痛后决意反上金殿报仇。,发展,4,郑恩；陶三春,复仇；幽冥；亲情；使命,推进,陶三春得知儿子被救，复仇决心更加坚定，冲突升级。,,6,0,1,0.0,0.0714,0.0714,1,4,
