doc_id,doc_title,scene_id,scene_index,scene,line_no,start_line,end_line,location,time_hint,main_event,dominant_action,summary,conflict_stage,tension_level,key_characters,theme_labels,scene_function,narrative_turning_point,characters_present,line_count,dialogue_count,lyric_count,dialogue_density,lyric_density,speech_density,stage_direction_count,narration_count,llm_error
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__000,0,序幕/前置内容,1,1,48,,,# 《逍遥津》 （一名：《搜诏逼宫》）,命令,# 《逍遥津》 （一名：《搜诏逼宫》）,铺垫,0,,忠义；权谋；战争；家国；亲情；公案；情爱；离散,引子,,,1,0,0,0.0,0.0,0.0,0,1,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__001,1,【第一场】,49,49,68,未明确,未明确,张辽表达对汉献帝的不满，并计划召集文武大臣商议废立之事。,张辽自述志向并下令召集众官,张辽自述心怀不满，因献帝懦弱而欲推倒龙床，扶保曹操登基，并召集文武两班商议。,铺垫,3,张辽,忠义；权力野心；家国,引子,张辽明确表达反汉拥曹的意图，为后续冲突埋下伏笔。,张辽；二旗牌,10,2,0,0.1,0.0,0.1,4,4,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__002,2,【第二场】,69,69,74,张辽府中,清晨,张辽提议废帝立曹，荀攸反对而亡，曹操表面拒绝并安排吏部职位，最后提及两处烟尘。,商议废立,张辽召集众臣商议推倒汉献帝，扶保曹操登基，荀攸反对后气死，曹操假意斥责并安排后事，提及东吴西蜀未平。,冲突,4,张辽；荀攸；曹操；华歆；贾诩；曹植,权谋；篡位；忠义；虚伪,推进,荀攸反对并气死，曹操假意斥责但实际默许，转折点在于曹操的虚伪表态与后续安排。,夏侯渊、司马懿、华歆、贾诩、郄虑、王粲、曹植、文聘；夏侯渊；司马懿；华歆；贾诩；郄虑；王粲；曹植；文聘；夏侯渊、司马懿、华懿、贾诩、郄虑、王粲、曹植、文聘；张辽；院子；荀攸；曹操；华歆、贾诩、郄虑、王粲、曹植、文聘；张辽、夏侯渊、司马懿、华歆、贾诩、郄虑、王粲、曹植、文聘,52,52,0,8.6667,0.0,8.6667,0,0,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__003,3,【第三场】,75,75,80,许昌朝堂,汉献帝在位时期,曹操上殿奏报两处外患，暗示朝中隐患,奏报,汉献帝在朝堂上称赞曹操忠心，曹操却指出东吴孙权与西蜀刘备为后患，暗示朝中危机。,铺垫,2,汉献帝；曹操,家国；权力博弈；悲情,铺垫,无重大转折，但为后续冲突埋下伏笔,汉献帝；曹操；张辽、夏侯渊、司马懿、华歆、贾诩、郄虑、王粲、曹植、文聘、曹操,10,10,0,1.6667,0.0,1.6667,0,0,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__004,4,【第四场】,81,81,98,宫廷内,夜晚,汉献帝与伏后商议并写下血诏，命穆顺出宫搬请诸侯讨伐曹操。,写血诏、托付使命,汉献帝回宫向伏后诉说曹操带剑上殿欲行刺，伏后建议写血诏搬兵，穆顺领命出宫送血诏，君臣悲泣告别。,发展,4,汉献帝；伏后；穆顺,忠义；忠义；悲情,推进,汉献帝决定写血诏并派穆顺出宫搬兵，冲突从宫内对峙转向外部求援。,伏后；汉献帝；穆顺,21,17,1,0.9444,0.0556,1.0,3,0,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__005,5,【第五场】,99,99,112,相府门前,未明确,穆顺至相府询问，与院子简短交流后离开。,探访与回避,穆顺前往相府探访，与院子短暂对话后，与伏完分别下场，为后续剧情埋下伏笔。,铺垫,1,穆顺；院子,权谋；试探,过渡,无显著转折，仅为场景转换。,穆顺；院子,5,2,0,0.1429,0.0,0.1429,3,0,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__006,6,【第六场】,113,113,134,御街,夜晚,夏侯渊发现穆顺行踪可疑，决定向曹操报告。,巡查与发现,夏侯渊奉曹操之命巡查御街，发现穆顺深夜出宫前往伏相府，怀疑有奸诈，决定报与曹操。,发展,3,夏侯渊；穆顺,忠义；权力斗争；权谋,推进,夏侯渊发现穆顺异常行踪，引发对伏相府的怀疑，推动后续冲突。,夏侯渊；四大铠,10,6,0,0.2727,0.0,0.2727,3,1,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__007,7,【第七场】,135,135,174,午门,清晨,曹操识破穆顺身藏密诏，穆顺慷慨陈词后被捕，曹操下令剿灭伏相府并抓捕伏后。,盘问与搜身,穆顺出宫被曹操拦截，盘问中暗讽曹操，最终被搜出密诏，曹操下令诛杀伏相府并抓捕伏后。,高潮,5,曹操；穆顺；华歆,忠义；权力斗争；忠义,高潮,穆顺被搜出密诏，冲突从暗讽升级为公开对抗，曹操决定采取极端行动。,曹操；手下；穆顺；华歆；穆顾；众人,98,92,0,2.3,0.0,2.3,2,4,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__008,8,【第八场】,175,175,208,皇宫内,汉献帝早朝后,华歆奉曹操之命带剑入宫抓捕伏后与二皇子,抓捕,华歆带剑入宫抓捕伏后与二皇子，曹妃劝阻未果，汉献帝无力保护，最终与二皇子出宫寻找伏后。,高潮,5,汉献帝；伏后；二皇子；华歆；曹妃,权力斗争；忠义；皇权衰落；亲情,高潮,冲突升级：华歆直接武力抓捕伏后，汉献帝彻底失去保护能力,汉献帝；太监；伏后；曹妃；二皇子,24,14,0,0.4118,0.0,0.4118,7,3,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__009,9,【第九场】,209,209,214,宫廷或刑场,未明确,曹操下令乱棍打死伏后，并接受华歆建议准备诛杀其子。,处决与决策,华歆擒获伏后，曹操怒斥并下令乱棍打死，司马懿求情未果，华歆建议斩草除根，曹操决定进宫诛杀伏后二子。,高潮,5,伏后；华歆；司马懿；曹操,权力斗争；残暴；忠义；斩草除根,高潮,冲突升级：从处决伏后到决定斩草除根，曹操的暴虐进一步加剧。,华歆；曹操；伏后；司马懿,23,23,0,3.8333,0.0,3.8333,0,0,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__010,10,【第十场】,215,215,219,宫院,未明确,曹操毒杀二皇子并强立曹妃为后,曹操下令毒杀二皇子并逼迫汉献帝立后,曹操逼迫汉献帝，毒杀二皇子，并强立其女曹妃为后，汉献帝无力反抗，被迫屈服。,高潮,5,汉献帝；曹操；二皇子；华歆；曹妃,权力斗争；忠义；亲情,高潮,曹操从饶恕二皇子转为下令毒杀，冲突升级至顶点,汉献帝；曹操；二皇子；司马懿；华歆；华散；曹妃,42,42,0,8.4,0.0,8.4,0,0,
