doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01005012___3a15b05878,海潮珠,1,【第一场】,崔杼,家院,对话/应答,对话,2,家院。,pdf_01000000__01005012___3a15b05878__line__000029,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,1,【第一场】,家院,崔杼,对话/应答,对话,1,参见老爷。,pdf_01000000__01005012___3a15b05878__line__000029,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,1,【第一场】,家院,棠姜,对话/应答,对话,2,有请夫人。,pdf_01000000__01005012___3a15b05878__line__000029,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,1,【第一场】,棠姜,家院,对话/应答,对话,1,"但不知他请我所为何情?将身儿来至在二堂以上,问家院你请我所为何情?",pdf_01000000__01005012___3a15b05878__line__000029,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,1,【第一场】,棠姜,崔杼,对话/应答,对话,3,哦!,pdf_01000000__01005012___3a15b05878__line__000029,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,1,【第一场】,崔杼,棠姜,对话/应答,对话,2,哇吓......,pdf_01000000__01005012___3a15b05878__line__000029,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,3,【第三场】,大夫,齐王,对话/应答,对话,4,"将身且把龙庭进,见了大王奏分明。",pdf_01000000__01005012___3a15b05878__line__000039,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,3,【第三场】,齐王,大夫,对话/应答,对话,5,卿家平身。,pdf_01000000__01005012___3a15b05878__line__000039,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,3,【第三场】,大夫,太监,对话/应答,对话,2,崔子回朝。,pdf_01000000__01005012___3a15b05878__line__000039,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,3,【第三场】,太监,齐王,对话/应答,对话,5,"哎,大王,崔子无故回朝,理当问斩。",pdf_01000000__01005012___3a15b05878__line__000039,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,3,【第三场】,齐王,太监,对话/应答,对话,3,内侍摆驾。,pdf_01000000__01005012___3a15b05878__line__000039,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,崔杼,棠姜,对话/应答,对话,16,"假意儿跌倒在流平地上,",pdf_01000000__01005012___3a15b05878__line__000043,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,棠姜,崔杼,对话/应答,对话,18,你自己起来吧。,pdf_01000000__01005012___3a15b05878__line__000043,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,崔杼,齐王,对话/应答,对话,6,你不能。,pdf_01000000__01005012___3a15b05878__line__000043；pdf_01000000__01005012___3a15b05878__line__000045,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,齐王,大夫,对话/应答,对话,2,"内侍进府去传禀,就说孤王驾来临。",pdf_01000000__01005012___3a15b05878__line__000049,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,大夫,齐王,对话/应答,对话,1,为臣告假。,pdf_01000000__01005012___3a15b05878__line__000039；pdf_01000000__01005012___3a15b05878__line__000049,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,大夫,太监,对话/应答,对话,1,前去观花。,pdf_01000000__01005012___3a15b05878__line__000049,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,太监,齐王,对话/应答,对话,1,我也去。,pdf_01000000__01005012___3a15b05878__line__000049,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,齐王,家院,对话/应答,对话,1,去去去!,pdf_01000000__01005012___3a15b05878__line__000049,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,家院,龙套甲,对话/应答,对话,1,何事?,pdf_01000000__01005012___3a15b05878__line__000057,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,龙套甲,崔杼,对话/应答,对话,1,大王过府探病。,pdf_01000000__01005012___3a15b05878__line__000057,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,棠姜,齐王,对话/应答,对话,2,好吓。,pdf_01000000__01005012___3a15b05878__line__000057,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,齐王,崔杼,对话/应答,对话,3,"叫声梓童莫高声,",pdf_01000000__01005012___3a15b05878__line__000059,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,齐王,棠姜,对话/应答,对话,4,"卿家若是你死了,你妻有孤照应。",pdf_01000000__01005012___3a15b05878__line__000073,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,5,【第六场】,棠姜,崔杼,对话/应答,对话,1,老爷我再也不敢了。,pdf_01000000__01005012___3a15b05878__line__000079,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,6,【第七场】,太监,大夫,对话/应答,对话,2,这是什么花？,pdf_01000000__01005012___3a15b05878__line__000089,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,6,【第七场】,大夫,太监,对话/应答,对话,1,这是祥玉麟。,pdf_01000000__01005012___3a15b05878__line__000091,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,6,【第七场】,大夫,崔杼,对话/应答,对话,4,抬头就要死。,pdf_01000000__01005012___3a15b05878__line__000095,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,6,【第七场】,崔杼,大夫,对话/应答,对话,4,看剑！,pdf_01000000__01005012___3a15b05878__line__000099,adjacency,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,龙套,太监,同场共现,同场共现,1,（齐王、太监、大夫、四龙套同上。）,,stage_direction,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,龙套,齐王,同场共现,同场共现,2,（齐王、太监、大夫、四龙套同上。）,,stage_direction,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,太监,龙套,同场共现,同场共现,1,（齐王、太监、大夫、四龙套同上。）,,stage_direction,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,太监,齐王,同场共现,同场共现,1,（齐王、太监、大夫、四龙套同上。）,,stage_direction,
pdf_01000000__01005012___3a15b05878,海潮珠,5,【第六场】,崔杼,棠姜,同场共现,同场共现,2,（崔杼追棠姜同上。）,,stage_direction,
pdf_01000000__01005012___3a15b05878,海潮珠,6,【第七场】,崔杼,太监,同场共现,同场共现,1,（崔杼杀太监，太监下。）,,stage_direction,
pdf_01000000__01005012___3a15b05878,海潮珠,1,【第一场】,崔杼,家院,命令,命令,1,叫家院近前来细听端详：进府去对夫人把话言讲，你就说我老爷得病回乡。,,llm,
pdf_01000000__01005012___3a15b05878,海潮珠,1,【第一场】,家院,棠姜,汇报,汇报,1,老爷回府。,pdf_01000000__01005012___3a15b05878__line__000029,llm,
pdf_01000000__01005012___3a15b05878,海潮珠,1,【第一场】,崔杼,棠姜,对抗,对抗,2,我这里手使剑忙赶上，追杀贱人走一场。,,llm,
pdf_01000000__01005012___3a15b05878,海潮珠,3,【第三场】,大夫,齐王,汇报,汇报,2,大夫奏报崔子回朝,,llm,
pdf_01000000__01005012___3a15b05878,海潮珠,3,【第三场】,太监,齐王,劝阻,劝阻,3,太监说崔子假意得病，应问斩,,llm,
pdf_01000000__01005012___3a15b05878,海潮珠,3,【第三场】,大夫,太监,对抗,对抗,2,大夫说有病回朝，太监反驳假意得病,,llm,
pdf_01000000__01005012___3a15b05878,海潮珠,3,【第三场】,齐王,太监,命令,命令,2,齐王命太监摆驾探病,,llm,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,崔杼,棠姜,对抗,对抗,5,崔杼斥责棠姜'好贱人',,llm,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,棠姜,齐王,同盟,协助,5,二人约定花园调情，齐王许诺明日接棠姜进宫,,llm,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,齐王,崔杼,对抗,对抗,4,齐王假意探病，实则与棠姜密谋害死崔杼,,llm,
pdf_01000000__01005012___3a15b05878,海潮珠,4,【第四场】,崔杼,齐王,对抗,对抗,5,崔杼怒斥'好昏王',,llm,
pdf_01000000__01005012___3a15b05878,海潮珠,5,【第六场】,崔杼,棠姜,对抗,对抗,5,崔杼杀棠姜,,llm,
pdf_01000000__01005012___3a15b05878,海潮珠,6,【第七场】,崔杼,太监,对抗,对抗,1,崔杼杀太监,,llm,
pdf_01000000__01005012___3a15b05878,海潮珠,6,【第七场】,崔杼,大夫,同盟,协助,1,崔杼与大夫商议保幼主登基,,llm,
pdf_01000000__01005012___3a15b05878,海潮珠,6,【第七场】,大夫,崔杼,协助,协助,1,大夫承诺担当保幼主登基,,llm,
