doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01003011___a844c57d4e,斩黄袍,1,【第一场】,【第一场】,权力交接,权力交接,1,报子；文堂甲；苗顺；赵匡胤；郑恩；郑高苗；高怀德,赵匡胤、郑恩等商议后事，苗顺提议将皇袍加于醉酒的赵匡胤身上，赵匡胤酒醒后被迫接受皇位，众人拥立其为帝。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,1,【第一场】,【第一场】,天命所归,使命,1,报子；文堂甲；苗顺；赵匡胤；郑恩；郑高苗；高怀德,赵匡胤、郑恩等商议后事，苗顺提议将皇袍加于醉酒的赵匡胤身上，赵匡胤酒醒后被迫接受皇位，众人拥立其为帝。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,1,【第一场】,【第一场】,兄弟情义,忠义,1,报子；文堂甲；苗顺；赵匡胤；郑恩；郑高苗；高怀德,赵匡胤、郑恩等商议后事，苗顺提议将皇袍加于醉酒的赵匡胤身上，赵匡胤酒醒后被迫接受皇位，众人拥立其为帝。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,1,【第一场】,【第一场】,阴谋与被迫,权谋,1,报子；文堂甲；苗顺；赵匡胤；郑恩；郑高苗；高怀德,赵匡胤、郑恩等商议后事，苗顺提议将皇袍加于醉酒的赵匡胤身上，赵匡胤酒醒后被迫接受皇位，众人拥立其为帝。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,2,【第二场】,【第二场】,天命,使命,1,二童子；神仙,二童子扶神仙上场，神仙书写后，三人一同下场，为后续剧情埋下伏笔。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,2,【第二场】,【第二场】,神秘预示,神秘预示,1,二童子；神仙,二童子扶神仙上场，神仙书写后，三人一同下场，为后续剧情埋下伏笔。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,3,【第三场】,【第三场】,仪式,仪式,1,苗顺；赵匡胤；郑恩；高怀德,赵匡胤、郑恩、苗顺、高怀德等人一同拜祭，随后持帖过场，众人同下，为后续剧情铺垫。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,3,【第三场】,【第三场】,权力交接,权力交接,1,苗顺；赵匡胤；郑恩；高怀德,赵匡胤、郑恩、苗顺、高怀德等人一同拜祭，随后持帖过场，众人同下，为后续剧情铺垫。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,4,【第四场】,【第四场】,登基封赏,登基封赏,1,苗顺；赵匡胤；郑恩；韩素梅；韩龙；高怀德,赵匡胤登基，封苗顺为护国军师、高怀德为尚方剑，郑恩提议出赦条安民。韩龙与韩素梅商议进妃，前往汴梁。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,4,【第四场】,【第四场】,权力巩固,权力巩固,1,苗顺；赵匡胤；郑恩；韩素梅；韩龙；高怀德,赵匡胤登基，封苗顺为护国军师、高怀德为尚方剑，郑恩提议出赦条安民。韩龙与韩素梅商议进妃，前往汴梁。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,4,【第四场】,【第四场】,进妃阴谋,权谋,1,苗顺；赵匡胤；郑恩；韩素梅；韩龙；高怀德,赵匡胤登基，封苗顺为护国军师、高怀德为尚方剑，郑恩提议出赦条安民。韩龙与韩素梅商议进妃，前往汴梁。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,5,【第六场】,【第六场】,权力,权力,1,赵匡胤；黄门官,黄门官在朝房等候，准备启奏河北韩龙进妃之事。赵匡胤登殿，展现帝王威仪，为后续纳妃事件铺垫。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,5,【第六场】,【第六场】,纳妃,纳妃,1,赵匡胤；黄门官,黄门官在朝房等候，准备启奏河北韩龙进妃之事。赵匡胤登殿，展现帝王威仪，为后续纳妃事件铺垫。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,6,【第七场】,【第七场】,忠诚,忠义,1,启三千岁；四龙套；郑恩,郑恩前往教场祭拜自己的兵器枣阳槊，表达对二哥登基的忠诚与自豪，为后续冲突埋下伏笔。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,6,【第七场】,【第七场】,权力象征,权力象征,1,启三千岁；四龙套；郑恩,郑恩前往教场祭拜自己的兵器枣阳槊，表达对二哥登基的忠诚与自豪，为后续冲突埋下伏笔。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,7,【第八场】,【第八场】,忠言逆耳,忠义,1,众武士；太监；苗顺；赵匡胤；郑恩；韩素梅；韩龙；高怀德,郑恩因韩龙进妃之事与赵匡胤激烈争执，赵匡胤怒而将郑恩绑赴午门斩首。高怀德欲保本，但被韩素梅阻挠，决定武装阻刑。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,7,【第八场】,【第八场】,权力与猜忌,权力与猜忌,1,众武士；太监；苗顺；赵匡胤；郑恩；韩素梅；韩龙；高怀德,郑恩因韩龙进妃之事与赵匡胤激烈争执，赵匡胤怒而将郑恩绑赴午门斩首。高怀德欲保本，但被韩素梅阻挠，决定武装阻刑。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,7,【第八场】,【第八场】,酒色误国,家国,1,众武士；太监；苗顺；赵匡胤；郑恩；韩素梅；韩龙；高怀德,郑恩因韩龙进妃之事与赵匡胤激烈争执，赵匡胤怒而将郑恩绑赴午门斩首。高怀德欲保本，但被韩素梅阻挠，决定武装阻刑。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,7,【第八场】,【第八场】,兄弟反目,亲情,1,众武士；太监；苗顺；赵匡胤；郑恩；韩素梅；韩龙；高怀德,郑恩因韩龙进妃之事与赵匡胤激烈争执，赵匡胤怒而将郑恩绑赴午门斩首。高怀德欲保本，但被韩素梅阻挠，决定武装阻刑。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,8,【第十场】,【第十场】,烦闷,烦闷,1,郑英,郑英独坐书房，内心烦闷，为后续剧情发展铺垫情绪基调。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,8,【第十场】,【第十场】,独处,独处,1,郑英,郑英独坐书房，内心烦闷，为后续剧情发展铺垫情绪基调。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,9,【第十一场】,【第十一场】,忠奸对立,忠义,1,众人；众武士；家院；武士；郑恩；郑英；韩龙；黄花真人,韩龙押郑恩法场问斩，郑英探监欲反被郑恩训斥，黄花真人救走郑英，郑恩被斩。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,9,【第十一场】,【第十一场】,冤屈,公案,1,众人；众武士；家院；武士；郑恩；郑英；韩龙；黄花真人,韩龙押郑恩法场问斩，郑英探监欲反被郑恩训斥，黄花真人救走郑英，郑恩被斩。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,9,【第十一场】,【第十一场】,天命,使命,1,众人；众武士；家院；武士；郑恩；郑英；韩龙；黄花真人,韩龙押郑恩法场问斩，郑英探监欲反被郑恩训斥，黄花真人救走郑英，郑恩被斩。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,10,【第十二场】,【第十二场】,复仇,复仇,1,家院；陶三春,陶三春得知丈夫郑恩被斩首，儿子失踪，悲痛之下命令众将披挂，准备杀上金殿报仇。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,10,【第十二场】,【第十二场】,忠义,忠义,1,家院；陶三春,陶三春得知丈夫郑恩被斩首，儿子失踪，悲痛之下命令众将披挂，准备杀上金殿报仇。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,10,【第十二场】,【第十二场】,权力斗争,权力斗争,1,家院；陶三春,陶三春得知丈夫郑恩被斩首，儿子失踪，悲痛之下命令众将披挂，准备杀上金殿报仇。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,11,【第十三场】,【第十三场】,复仇,复仇,1,郑恩；陶三春,郑恩鬼魂现身，告知陶三春其子被黄花真人救走，母子将在南唐重逢，陶三春悲痛后决意反上金殿报仇。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,11,【第十三场】,【第十三场】,鬼魂托梦,幽冥,1,郑恩；陶三春,郑恩鬼魂现身，告知陶三春其子被黄花真人救走，母子将在南唐重逢，陶三春悲痛后决意反上金殿报仇。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,11,【第十三场】,【第十三场】,母子分离,亲情,1,郑恩；陶三春,郑恩鬼魂现身，告知陶三春其子被黄花真人救走，母子将在南唐重逢，陶三春悲痛后决意反上金殿报仇。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,11,【第十三场】,【第十三场】,命运,使命,1,郑恩；陶三春,郑恩鬼魂现身，告知陶三春其子被黄花真人救走，母子将在南唐重逢，陶三春悲痛后决意反上金殿报仇。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,12,【第十四场】,【第十四场】,复仇,复仇,1,赵匡胤；陶三春；高怀德,陶三春为夫报仇兵围皇城，赵匡胤被迫认错，高怀德从中调解，最终赵匡胤答应为郑子明设坛超度，陶三春收兵。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,12,【第十四场】,【第十四场】,权力妥协,权力妥协,1,赵匡胤；陶三春；高怀德,陶三春为夫报仇兵围皇城，赵匡胤被迫认错，高怀德从中调解，最终赵匡胤答应为郑子明设坛超度，陶三春收兵。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,12,【第十四场】,【第十四场】,忠义冲突,忠义,1,赵匡胤；陶三春；高怀德,陶三春为夫报仇兵围皇城，赵匡胤被迫认错，高怀德从中调解，最终赵匡胤答应为郑子明设坛超度，陶三春收兵。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,0,序幕/前置内容,序幕/前置内容,忠义,忠义,1,,# 《斩黄袍》 （一名：《斩郑恩》）,keyword
pdf_01000000__01003011___a844c57d4e,斩黄袍,0,序幕/前置内容,序幕/前置内容,权谋,权谋,1,,# 《斩黄袍》 （一名：《斩郑恩》）,keyword
pdf_01000000__01003011___a844c57d4e,斩黄袍,0,序幕/前置内容,序幕/前置内容,战争,战争,1,,# 《斩黄袍》 （一名：《斩郑恩》）,keyword
pdf_01000000__01003011___a844c57d4e,斩黄袍,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《斩黄袍》 （一名：《斩郑恩》）,keyword
