doc_id,doc_title,collection_dir,collection_code,collection_name,collection_label,work_code,work_title_hint,char_id,role_name,alias_names,role_type_raw,role_type_inferred,gender_inferred,age_inferred,status_identity,personality_tags,behavior_tags,speech_style,narrative_function,line_count,scene_coverage,scene_count_present,centrality_hint,evidence,source_line,raw,confidence,llm_error,role_note
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__char__5edf330a7c,诸葛亮,孔明；诸葛；诸葛孔明,老生,老生,男,中年,蜀汉丞相,足智多谋；沉着冷静；谨慎；临危不惧,设空城计；抚琴；调兵遣将；镇定指挥,文雅；从容；有威严；多用文言,主角,16,1；4,2,0.931,"（二童儿同上，诸葛亮上。）诸葛亮（念）兵扎祁山地,要擒司马懿。诸葛亮（白）传。诸葛亮（白）罢了。诸葛亮（白）你奉何人所差?诸葛亮（白）手捧何物?诸葛亮（白）展开。诸葛亮（白）转来。诸葛亮（白）快快去到列柳城,调赵老将诸葛亮（白）嗳,好一个胆大的马谡呀。",5,诸葛亮：老生,0.95,,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__char__e9c71dfd96,司马懿,司马；司马仲达,净,净,男,中年,魏国大都督,多疑；谨慎；用兵如神；老谋深算,带兵攻城；观察敌情；下令撤退；与诸葛亮对峙,豪迈；果断；略带自负；口语化,主角,11,4；5；6,3,1.0,"诸葛亮（念）兵扎祁山地,要擒司马懿。司马懿带兵复夺西城。司马懿大兵离西城还有四十余里。嗳，司马懿的大兵，他来得好快呀！哽，他来得好快呀！人道司马用兵如神，今日一见，是令人可服，令人可敬。哎呀，且住。说什么令人可服，令人可敬？想这西城的兵将，俱被山人调遣在外，司马懿大兵到此，难道叫我军束手就擒，这束手就擒！你等将西城四门大开，打扫街道。司马懿大兵到此，不要害怕，违令者斩。（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）司马懿（西皮原板）坐在马上来观定,城楼上坐的是诸葛孔明。左右琴童来捧酒,打扫街道老弱残兵。我本当传将令杀进城,司马懿（白）且慢。司马懿（西皮摇板）左思右想心不定,城内必有埋伏兵。司马懿（白）哽。那孔明平生谨慎,从不弄险,不要中了他人之计。将前队改为后队,人马倒退四十余里。司马懿（白）待我说破于他。诸葛亮呀,诸葛孔明,你实城也罢,空城也罢,你司马老爷是不进城了。请呀请呀!二老军（同白）启禀丞相:司马懿人马倒退四十余里。（四龙套、司马懿、司马师、司马昭同上。报子上。）",7,司马懿：净,0.95,,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__char__07d1623981,司马师,,净,净,男,青年,司马懿长子,勇猛；忠诚；急躁,随父出征；参与军事行动,简洁；直接,配角,0,,0,0.3276,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）（四龙套、司马懿、司马师、司马昭同上。报子上。）司马师、（四龙套、司马懿、司马师、司马昭同下。四上手、赵云同下。）（四龙套、司马懿、司马师、司马昭同上。）,9,司马师：净,0.85,,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__char__a14a4026de,司马昭,,小生,小生,男,青年,司马懿次子,敏锐；有主见；敢于进言,随父出征；分析敌情；建议进攻,直率；有逻辑,配角,3,4；5；6,3,0.5,"（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）司马昭（白）听他琴内慌迫,一定是空城。乘此机会,杀进城去......（四龙套、司马懿、司马师、司马昭同上。报子上。）司马昭（同白）如何？（四龙套、司马懿、司马师、司马昭同下。四上手、赵云同下。）（四龙套、司马懿、司马师、司马昭同上。）司马昭（白）我等哪里知道。",11,司马昭：小生,0.85,,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__char__44d28f079c,赵云,子龙；赵子龙,老生,老生,男,老年,蜀汉大将,勇猛；忠诚；老当益壮,领兵救援；与司马懿军交战,简洁；有力,配角,3,4；5,2,0.3103,（四上手引赵云急急风过场，同下。）（四上手、赵云同上。）赵云（白）参见丞相。赵云（白）得令。（赵云引四上手下。）（众人同允。四上手引赵云同上，两下会阵。）赵云（白）常山赵云。（四龙套、司马懿、司马师、司马昭同下。四上手、赵云同下。）司马懿（白）呸呸！我说是实城，你们说是空城。那赵云从天上掉下来的不成？,13,赵云：老生,0.85,,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__char__07c2687c9b,老军甲,,丑,丑,男,老年,西城守城老兵,幽默；胆小；朴实,打扫街道；执行命令,口语化；诙谐,功能性角色,0,,0,0.0,老军甲（念）老军甲（念）,15,老军甲：丑,0.7,,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__char__57d1dcd13f,老军乙,,丑,丑,男,老年,西城守城老兵,幽默；胆小；朴实,打扫街道；执行命令,口语化；诙谐,功能性角色,0,,0,0.0,老军乙（念）老军乙（念）,17,老军乙：丑,0.7,,
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__char__1de21143a8,杨延昭,,老生,老生,男,中年,宋军元帅，杨继业之子,忠君爱国；孝义为先；忧思成疾,梦中见父；下令盗骨；病中托孤,文雅庄重；多用典故；情感深沉,主角,39,2；8；10,3,1.0,为国家哪何曾半日闲空；猛抬头又只见去世爹尊；我有意命贤弟，二下番营盗骨,7,杨延昭：老生,0.95,,
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__char__5975f5da58,孟良,,净,净,男,壮年,杨延昭部将，焦赞结义兄弟,勇猛忠诚；粗中有细；重义轻生,奉命盗骨；误杀焦赞；自刎谢罪,直率豪爽；多用比喻；语气坚定,配角,16,2；6；7,3,0.4536,不听皇王诏宣，单听杨家令传；未将好比元帅跨下之骑；盗回尸骨立头功,9,孟良：净,0.9,,
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__char__d3044dc191,焦赞,,净,净,男,壮年,杨延昭部将，孟良结义兄弟,急躁好胜；重情重义；粗鲁直率,私自追孟良；被误杀,直白冲动；多用反问；语气激烈,配角,6,3；6,2,0.1959,元帅做事差又差，差了孟良不差咱；焦不离孟，孟不离焦；这场功劳岂让他,11,焦赞：净,0.9,,
