doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01001014___552f523069,七星灯,权谋,4,诸葛亮派旗牌送脂粉裙钗羞辱司马懿，反被司马懿识破计谋并款待旗牌，套取诸葛亮饮食减少的情报，导致诸葛亮计谋失败，感叹司马懿智勇双全。,llm
pdf_01000000__01001014___552f523069,七星灯,悲情,2,司马懿欲趁诸葛亮已死抢其尸首粮草，姜维等将假扮诸葛亮吓退司马懿，维护丞相威名。,llm
pdf_01000000__01001014___552f523069,七星灯,传承,1,诸葛亮病重，安排后事，托付遗表，密授锦囊，预言魏延必反，最终病逝五丈原。,llm
pdf_01000000__01001014___552f523069,七星灯,使命,1,诸葛亮病重，安排后事，托付遗表，密授锦囊，预言魏延必反，最终病逝五丈原。,llm
pdf_01000000__01001014___552f523069,七星灯,威名,1,司马懿欲趁诸葛亮已死抢其尸首粮草，姜维等将假扮诸葛亮吓退司马懿，维护丞相威名。,llm
pdf_01000000__01001014___552f523069,七星灯,家国,1,# 《七星灯》 （一名：《孔明求寿》）,keyword
pdf_01000000__01001014___552f523069,七星灯,忠义,1,诸葛亮病重，安排后事，托付遗表，密授锦囊，预言魏延必反，最终病逝五丈原。,llm
pdf_01000000__01001014___552f523069,七星灯,情爱,1,诸葛亮派旗牌送脂粉裙钗羞辱司马懿，反被司马懿识破计谋并款待旗牌，套取诸葛亮饮食减少的情报，导致诸葛亮计谋失败，感叹司马懿智勇双全。,llm
pdf_01000000__01001014___552f523069,七星灯,战争,1,# 《七星灯》 （一名：《孔明求寿》）,keyword
pdf_01000000__01001014___552f523069,七星灯,羞辱与反羞辱,1,诸葛亮派旗牌送脂粉裙钗羞辱司马懿，反被司马懿识破计谋并款待旗牌，套取诸葛亮饮食减少的情报，导致诸葛亮计谋失败，感叹司马懿智勇双全。,llm
pdf_01000000__01001014___552f523069,七星灯,谨慎,1,司马懿得知孔明已死，但怀疑是计，决定收兵，避免再次中计。,llm
