doc_id,doc_title,scene_id,scene_index,scene,line_no,start_line,end_line,location,time_hint,main_event,dominant_action,summary,conflict_stage,tension_level,key_characters,theme_labels,scene_function,narrative_turning_point,characters_present,line_count,dialogue_count,lyric_count,dialogue_density,lyric_density,speech_density,stage_direction_count,narration_count,llm_error
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__000,0,序幕/前置内容,1,1,20,,,# 《白门楼》,命令,# 《白门楼》,铺垫,0,,忠义；战争；情爱,引子,,,1,0,0,0.0,0.0,0.0,0,1,
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__001,1,【第一场】,21,21,40,辕门,未明确,刘备与关羽、张飞商议前往辕门候令，准备发兵徐州。,候令,刘备、关羽、张飞兄弟三人同赴辕门，准备听从曹操调令发兵徐州，展现兄弟齐心共保汉室的决心。,铺垫,1,刘备；张飞,忠义；忠义,引子,无转折，为后续剧情做铺垫。,刘备；张飞,9,5,0,0.25,0.0,0.25,2,2,
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__002,2,【第二场】,41,41,76,曹操军营,无明确时间,曹操下令攻打徐州，刘备领命协同众将。,发令与领命,曹操与刘备会合，众将起霸点兵，曹操下令攻打徐州，刘备领命协同众将捉拿吕布。,铺垫,2,曹操；刘备；李典；乐进；许褚；曹洪,权力争夺；战争；联盟与背叛,推进,无转折，为后续战斗做军事部署。,曹洪；李典；乐进；许褚；曹操；众人；刘备,28,20,0,0.5556,0.0,0.5556,1,7,
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__003,3,【第三场】,77,77,84,徐州宫闱,白日,侯成盗走赤兔马与画戟，吕布得知后下令备战。,饮酒享乐与紧急军报的对比,吕布在徐州与貂蝉饮酒作乐，陈宫、张辽先后急报曹操来袭及侯成盗马盗戟，吕布惊觉危机，貂蝉假意担忧。,冲突,4,吕布；貂蝉；陈宫；张辽,沉溺酒色；疾病与死亡；忠义,推进,张辽报信使吕布从醉乐转入备战，冲突升级。,吕布；貂蝉；陈宫；小太监；张辽,30,27,2,3.375,0.25,3.625,1,0,
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__004,4,【第四场】,85,85,88,战场,白天,吕布与曹操、刘备联军会阵开打,战斗,吕布与曹操阵营将领会阵开打，刘备、关羽、张飞加入战斗，双方混战，吕布一方处于劣势。,冲突,4,吕布；李典；乐进；许褚；曹洪；刘备；关羽；张飞,战争；对抗；英雄末路,推进,无显著转折，冲突直接升级为混战,,1,1,0,0.25,0.0,0.25,0,0,
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__005,5,【第五场】,89,89,98,白门楼战场,交战时刻,张辽出战被擒,擒拿,陈宫与张辽商议应对敌军，陈宫命张辽抵挡，张辽出战被擒。,冲突,4,陈宫；张辽,忠义；权谋；战争,推进,张辽被擒，战局急转直下,陈宫；张辽；龙套,6,5,0,0.5,0.0,0.5,1,0,
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__006,6,【第六场】,99,99,106,白门楼附近,吕布被擒后不久,貂蝉被曹操部将擒获,擒拿,貂蝉独自上场，悲呼温侯，随即被李典、乐进、许褚、曹洪四将擒获，剧情急转直下。,收束,3,貂蝉；李典；乐进；许褚；曹洪,使命；英雄末路；悲情,收束,貂蝉从悲呼到被擒，标志其命运由主动转向被动，为后续处置埋下伏笔。,貂蝉,3,1,0,0.125,0.0,0.125,2,0,
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__007,7,【第七场】,107,107,114,白门楼附近战场,战后,陈宫被擒,擒拿,陈宫上场悲叹温侯，随即被李典、乐进、许褚、曹洪擒获，剧情从陈宫的绝望转向被俘的结局。,收束,3,陈宫；李典；乐进；许褚；曹洪,忠义；悲情；使命,收束,陈宫从悲叹状态突遭擒拿，情节急转直下，标志其命运终结。,陈宫,3,1,0,0.125,0.0,0.125,2,0,
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__008,8,【第八场】,115,115,132,白门楼战场,交战时刻,吕布孤军奋战，被曹操众将擒获。,吕布决意死战，众将围攻擒拿。,吕布因陈宫、张辽被擒，貂蝉被抢，陷入困境，但仍决意舍死忘生一战，最终被众将擒获。,高潮,5,吕布；李典；乐进；许褚；曹洪；刘备；关羽；张飞,英雄末路；悲情；众叛亲离,高潮,吕布从犹豫到决意死战，但随即被擒，剧情急转直下。,吕布,8,2,2,0.1111,0.1111,0.2222,2,2,
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__009,9,【第九场】,133,133,221,曹操大帐,吕布被擒后,曹操审问并斩杀吕布、陈宫，张辽被擒不屈,审问与处决,曹操擒获吕布、陈宫、张辽，审问并处置三人。刘备暗示曹操杀吕布以防后患，吕布被斩，陈宫慷慨赴死，张辽不屈。,高潮,5,曹操；刘备；吕布；陈宫；张辽；貂蝉,忠义；权谋；英雄末路；悲情,高潮,刘备以丁原、董卓故事提醒曹操，促使曹操决定斩杀吕布，导致吕布命运转折,张飞；曹操；刘备；貂蝉；吕布；陈宫；关羽、张飞；关羽；龙套甲；张辽,118,81,13,0.9101,0.1461,1.0562,5,19,
