doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01001010___86bc12e35b,黄金台,1,【第一场】,田单,二衙役,对话/应答,对话,3,为国家哪顾得昼夜奔忙。,pdf_01000000__01001010___86bc12e35b__line__000031,adjacency,
pdf_01000000__01001010___86bc12e35b,黄金台,1,【第一场】,二衙役,田单,对话/应答,对话,2,有。,pdf_01000000__01001010___86bc12e35b__line__000031,adjacency,
pdf_01000000__01001010___86bc12e35b,黄金台,1,【第一场】,二衙役,衙役甲,对话/应答,对话,1,拿住了犯夜的了!,pdf_01000000__01001010___86bc12e35b__line__000031,adjacency,
pdf_01000000__01001010___86bc12e35b,黄金台,1,【第一场】,衙役甲,衙役乙,对话/应答,对话,1,"伙计你看住他,我去讨赏。",pdf_01000000__01001010___86bc12e35b__line__000031,adjacency,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,田单,田法章,对话/应答,对话,11,千岁醒来。,pdf_01000000__01001010___86bc12e35b__line__000037,adjacency,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,田法章,田单,对话/应答,对话,13,"时才间搀得我昏迷不醒,",pdf_01000000__01001010___86bc12e35b__line__000037,adjacency,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,田单,家院,对话/应答,对话,2,好奸贼!,pdf_01000000__01001010___86bc12e35b__line__000037；pdf_01000000__01001010___86bc12e35b__line__000145,adjacency,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,家院,田单,对话/应答,对话,2,"今有伊公公带领许多校尉,前来搜府。",pdf_01000000__01001010___86bc12e35b__line__000037,adjacency,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,田单,乳娘,对话/应答,对话,3,与千岁改扮起来！,pdf_01000000__01001010___86bc12e35b__line__000039,adjacency,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,乳娘,田单,对话/应答,对话,1,是。,pdf_01000000__01001010___86bc12e35b__line__000041,adjacency,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,田单,伊立,对话/应答,对话,38,水不清皆因是鱼儿搅混，,pdf_01000000__01001010___86bc12e35b__line__000045,adjacency,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,伊立,田单,对话/应答,对话,38,呔，马来！,pdf_01000000__01001010___86bc12e35b__line__000049,adjacency,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,乳娘,田法章,对话/应答,对话,2,是。啊，千岁，妇人行走，必须要这样走。,pdf_01000000__01001010___86bc12e35b__line__000071,adjacency,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,伊立,四校尉,对话/应答,对话,1,校尉的与我搜!,pdf_01000000__01001010___86bc12e35b__line__000145,adjacency,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,四校尉,伊立,对话/应答,对话,1,有两个妇人。,pdf_01000000__01001010___86bc12e35b__line__000145,adjacency,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,伊立,乳娘,对话/应答,对话,1,待我看她行走如何。,pdf_01000000__01001010___86bc12e35b__line__000145,adjacency,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,乳娘,伊立,对话/应答,对话,1,"是,姑娘有礼。",pdf_01000000__01001010___86bc12e35b__line__000145,adjacency,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,田法章,伊立,命令/请求,命令,1,"伊立与我结仇恨,要害小王命残生。",pdf_01000000__01001010___86bc12e35b__line__000037,mention,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,田单,伊立,问答,对话,1,"哎呀,千岁,今有伊立带领许多校尉,前来搜寻殿下。这便如何是好?",pdf_01000000__01001010___86bc12e35b__line__000037,mention,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,田单,乳娘,提及,提及,5,"哎呀,千岁,事到如今,讲什么“金枝玉叶”?龙驾要紧!乳娘,(乳娘允。)",pdf_01000000__01001010___86bc12e35b__line__000037,mention,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,伊立,田法章,提及,提及,1,今有东宫世子田法章，人伦大变，子淫父妃。大王大怒，赐咱家宝剑一口，三,pdf_01000000__01001010___86bc12e35b__line__000139,mention,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,田法章,乳娘,同场共现,同场共现,3,（田法章、乳娘同下。）,,stage_direction,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,田法章,伊立,同场共现,同场共现,1,（田法章、乳娘同下。四校尉、伊立同上。）,,stage_direction,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,伊立,乳娘,同场共现,同场共现,1,（田法章、乳娘同下。四校尉、伊立同上。）,,stage_direction,
pdf_01000000__01001010___86bc12e35b,黄金台,1,【第一场】,田单,二衙役,命令,命令,1,"叫人来掌红灯大街来上,若有那面生人细问端详",pdf_01000000__01001010___86bc12e35b__line__000031,llm,
pdf_01000000__01001010___86bc12e35b,黄金台,1,【第一场】,衙役甲,衙役乙,协助,协助,1,"伙计你看住他,我去讨赏",pdf_01000000__01001010___86bc12e35b__line__000031,llm,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,伊立,田单,对抗,对抗,4,伊立坚持要搜府，田单阻拦,,llm,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,田单,田法章,协助,协助,3,田单提议并安排田法章扮女装,,llm,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,乳娘,田法章,协助,协助,2,乳娘为田法章改扮并教导行走,,llm,
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,伊立,田法章,对抗,对抗,3,伊立搜寻田法章，欲斩杀回奏,,llm,
