doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01001001___b0ac065467,空城计,1,【第一场】,【第一场】,智谋,权谋,1,二老军；报子；旗牌；童儿；老军乙；老军甲；诸葛亮,诸葛亮得知马谡失守街亭，司马懿大军逼近西城，城内空虚，遂定空城计，命老军打开城门，携琴童上敌楼抚琴。,llm
pdf_01000000__01001001___b0ac065467,空城计,1,【第一场】,【第一场】,危机,悲情,1,二老军；报子；旗牌；童儿；老军乙；老军甲；诸葛亮,诸葛亮得知马谡失守街亭，司马懿大军逼近西城，城内空虚，遂定空城计，命老军打开城门，携琴童上敌楼抚琴。,llm
pdf_01000000__01001001___b0ac065467,空城计,1,【第一场】,【第一场】,责任,使命,1,二老军；报子；旗牌；童儿；老军乙；老军甲；诸葛亮,诸葛亮得知马谡失守街亭，司马懿大军逼近西城，城内空虚，遂定空城计，命老军打开城门，携琴童上敌楼抚琴。,llm
pdf_01000000__01001001___b0ac065467,空城计,1,【第一场】,【第一场】,冒险,冒险,1,二老军；报子；旗牌；童儿；老军乙；老军甲；诸葛亮,诸葛亮得知马谡失守街亭，司马懿大军逼近西城，城内空虚，遂定空城计，命老军打开城门，携琴童上敌楼抚琴。,llm
pdf_01000000__01001001___b0ac065467,空城计,2,【第二场】,【第二场】,军事行动,战争,1,司马师；司马懿；司马昭,司马懿率司马师、司马昭及四白龙套急急风过场，显示魏军快速行军，为后续兵临城下做铺垫。,llm
pdf_01000000__01001001___b0ac065467,空城计,2,【第二场】,【第二场】,紧张氛围,紧张氛围,1,司马师；司马懿；司马昭,司马懿率司马师、司马昭及四白龙套急急风过场，显示魏军快速行军，为后续兵临城下做铺垫。,llm
pdf_01000000__01001001___b0ac065467,空城计,3,【第三场】,【第三场】,军事行动,战争,1,赵云,赵云率四上手急急风过场，显示蜀军调动，为后续空城计做铺垫。,llm
pdf_01000000__01001001___b0ac065467,空城计,3,【第三场】,【第三场】,铺垫,铺垫,1,赵云,赵云率四上手急急风过场，显示蜀军调动，为后续空城计做铺垫。,llm
pdf_01000000__01001001___b0ac065467,空城计,4,【第四场】,【第四场】,智谋,权谋,1,二老军；众人；司马懿；司马昭；诸葛亮；赵云,诸葛亮在城楼抚琴，以空城计迷惑司马懿，使其疑有伏兵而退兵四十里，随后命赵云准备迎敌。,llm
pdf_01000000__01001001___b0ac065467,空城计,4,【第四场】,【第四场】,疑心,疑心,1,二老军；众人；司马懿；司马昭；诸葛亮；赵云,诸葛亮在城楼抚琴，以空城计迷惑司马懿，使其疑有伏兵而退兵四十里，随后命赵云准备迎敌。,llm
pdf_01000000__01001001___b0ac065467,空城计,4,【第四场】,【第四场】,冒险,冒险,1,二老军；众人；司马懿；司马昭；诸葛亮；赵云,诸葛亮在城楼抚琴，以空城计迷惑司马懿，使其疑有伏兵而退兵四十里，随后命赵云准备迎敌。,llm
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,【第五场】,智谋,权谋,1,司马懿；司马昭；报子；赵云,司马懿得知西城为空城，欲复夺城池，遭遇赵云阻截，司马懿因畏惧赵云而收兵撤退。,llm
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,【第五场】,威慑,威慑,1,司马懿；司马昭；报子；赵云,司马懿得知西城为空城，欲复夺城池，遭遇赵云阻截，司马懿因畏惧赵云而收兵撤退。,llm
pdf_01000000__01001001___b0ac065467,空城计,6,【第六场】,【第六场】,智谋,权谋,1,司马懿；司马昭,司马懿与司马昭讨论空城计，司马懿懊悔自己胆怯，认为诸葛亮胆大，决定悄悄收兵。,llm
pdf_01000000__01001001___b0ac065467,空城计,6,【第六场】,【第六场】,胆识,胆识,1,司马懿；司马昭,司马懿与司马昭讨论空城计，司马懿懊悔自己胆怯，认为诸葛亮胆大，决定悄悄收兵。,llm
pdf_01000000__01001001___b0ac065467,空城计,6,【第六场】,【第六场】,悔悟,悔悟,1,司马懿；司马昭,司马懿与司马昭讨论空城计，司马懿懊悔自己胆怯，认为诸葛亮胆大，决定悄悄收兵。,llm
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,序幕/前置内容,权谋,权谋,1,,# 《空城计》（一名：《抚琴退兵》）,keyword
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,序幕/前置内容,战争,战争,1,,# 《空城计》（一名：《抚琴退兵》）,keyword
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《空城计》（一名：《抚琴退兵》）,keyword
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,序幕/前置内容,喜剧,喜剧,1,,# 《空城计》（一名：《抚琴退兵》）,keyword
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,序幕/前置内容,离散,离散,1,,# 《空城计》（一名：《抚琴退兵》）,keyword
