doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01001007___1b262d262b,桑园寄子,邓伯道,邓方,命令,10,协助；命令；对话,邓伯道命邓方去叫爹爹,llm_refined,0.9
pdf_01000000__01001007___1b262d262b,桑园寄子,邓伯道,邓元,命令,9,命令；对话,邓伯道命邓元去叫叔父,llm_refined,0.9
pdf_01000000__01001007___1b262d262b,桑园寄子,邓元,邓伯道,评价,8,对话；评价,邓元哭诉‘我的父心太狠要把儿伤’,llm_refined,0.85
pdf_01000000__01001007___1b262d262b,桑园寄子,邓方,邓伯道,对话,7,对话,参见（爹爹）（伯父）。,llm_refined,0.8
pdf_01000000__01001007___1b262d262b,桑园寄子,邓伯道,金氏,命令,6,协助；同场共现；命令；对话,邓伯道告知金氏黑水国造反，并决定逃往潼关,llm_refined,0.85
pdf_01000000__01001007___1b262d262b,桑园寄子,二家院,邓伯道,汇报,5,协助；对话；汇报,二家院禀报黑水国造反,llm_refined,0.85
pdf_01000000__01001007___1b262d262b,桑园寄子,邓伯道,二家院,命令,5,命令；对话,邓伯道将万贯家财托付二家院，并承诺平分,llm_refined,0.85
pdf_01000000__01001007___1b262d262b,桑园寄子,金氏,邓元,协助,5,协助；对话,金氏救下邓元，并决定带他投奔潼关,llm_refined,0.85
pdf_01000000__01001007___1b262d262b,桑园寄子,邓元,金氏,汇报,4,对话；汇报,邓元向金氏说明被绑经过并出示血书,llm_refined,0.8
pdf_01000000__01001007___1b262d262b,桑园寄子,金氏,邓伯道,协助,4,协助；对话,金氏提议收拾逃往潼关，并随后收拾行李,llm_refined,0.8
pdf_01000000__01001007___1b262d262b,桑园寄子,邓元,邓方,同场共现,2,同场共现；对话,（邓元、邓方同上。）,llm_refined,0.7
pdf_01000000__01001007___1b262d262b,桑园寄子,邓方,邓元,对话,2,对话,"爹爹,我父,爹爹吓!",llm_refined,0.7
pdf_01000000__01001007___1b262d262b,桑园寄子,二家院,众家丁,对话,1,对话,嗳，列位，员外东人他们俱已去了，倘若贼兵到此，你我如何是好？,llm_refined,0.6
pdf_01000000__01001007___1b262d262b,桑园寄子,二家院,邓元,对话,1,对话,有请二位少爷。,llm_refined,0.6
pdf_01000000__01001007___1b262d262b,桑园寄子,众家丁,二家院,对话,1,对话,员外吓！,llm_refined,0.6
pdf_01000000__01001007___1b262d262b,桑园寄子,番王,巴都鲁,命令,1,命令,番王白：巴都鲁！杀！,llm_refined,0.7
pdf_01000000__01001007___1b262d262b,桑园寄子,邓伯道,众家丁,对话,1,对话,众家丁，你等请上，受我全家一拜！,llm_refined,0.6
pdf_01000000__01001007___1b262d262b,桑园寄子,邓伯道,家人,提及,1,提及,眼见得一家人四下分开。,llm_refined,0.5
pdf_01000000__01001007___1b262d262b,桑园寄子,邓方,金氏,对话,1,对话,家乡何在？,llm_refined,0.6
pdf_01000000__01001007___1b262d262b,桑园寄子,金氏,家人,命令,1,命令,一家人逃性命哪顾家财。,llm_refined,0.5
