doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01004011___c0be635aa4,飞虎山,2,【第二场】,李克用,四将,对话/应答,对话,2,"山上插宝剑,斩断清水泉。",pdf_01000000__01004011___c0be635aa4__line__000039,adjacency,
pdf_01000000__01004011___c0be635aa4,飞虎山,2,【第二场】,四将,李克用,对话/应答,对话,2,参见父王。,pdf_01000000__01004011___c0be635aa4__line__000039,adjacency,
pdf_01000000__01004011___c0be635aa4,飞虎山,3,【第三场】,土地,李克用,对话/应答,对话,8,"领了玉帝命,搭救铁石星。",pdf_01000000__01004011___c0be635aa4__line__000049,adjacency,
pdf_01000000__01004011___c0be635aa4,飞虎山,3,【第三场】,李克用,龙套,对话/应答,对话,2,前道为何不行?,pdf_01000000__01004011___c0be635aa4__line__000053,adjacency,
pdf_01000000__01004011___c0be635aa4,飞虎山,3,【第三场】,龙套,李克用,对话/应答,对话,1,樵夫挡道。,pdf_01000000__01004011___c0be635aa4__line__000053,adjacency,
pdf_01000000__01004011___c0be635aa4,飞虎山,3,【第三场】,李克用,土地,对话/应答,对话,6,人马列开。,pdf_01000000__01004011___c0be635aa4__line__000053,adjacency,
pdf_01000000__01004011___c0be635aa4,飞虎山,3,【第三场】,龙套,土地,对话/应答,对话,1,"樵夫,我家大王唤你。",pdf_01000000__01004011___c0be635aa4__line__000053,adjacency,
pdf_01000000__01004011___c0be635aa4,飞虎山,4,【第四场】,安敬思,龙套,对话/应答,对话,1,"高峰叠翠人来往,青山绿水心欢畅。将身且把山岗上,清风拂面百花香。",pdf_01000000__01004011___c0be635aa4__line__000061,adjacency,
pdf_01000000__01004011___c0be635aa4,飞虎山,4,【第四场】,龙套,李克用,对话/应答,对话,4,樵夫不见。,pdf_01000000__01004011___c0be635aa4__line__000063,adjacency,
pdf_01000000__01004011___c0be635aa4,飞虎山,4,【第四场】,李克用,龙套,对话/应答,对话,4,只见猛虎下山岗。,pdf_01000000__01004011___c0be635aa4__line__000063,adjacency,
pdf_01000000__01004011___c0be635aa4,飞虎山,4,【第四场】,龙套,安敬思,对话/应答,对话,1,醒来!,pdf_01000000__01004011___c0be635aa4__line__000063,adjacency,
pdf_01000000__01004011___c0be635aa4,飞虎山,4,【第四场】,安敬思,李克用,对话/应答,对话,10,"耳旁忽听人喧嚷,想是猛虎吃了羊。",pdf_01000000__01004011___c0be635aa4__line__000063,adjacency,
pdf_01000000__01004011___c0be635aa4,飞虎山,4,【第四场】,李克用,安敬思,对话/应答,对话,8,娃娃无礼也!,pdf_01000000__01004011___c0be635aa4__line__000063,adjacency,
pdf_01000000__01004011___c0be635aa4,飞虎山,4,【第四场】,李克用,李嗣源,对话/应答,对话,1,"娃娃说话有志量,亚赛当年的张子房。回言便把太保叫,你把大话唬儿郎。",pdf_01000000__01004011___c0be635aa4__line__000063,adjacency,
