doc_id,doc_title,scene_id,scene_index,scene,line_no,start_line,end_line,location,time_hint,main_event,dominant_action,summary,conflict_stage,tension_level,key_characters,theme_labels,scene_function,narrative_turning_point,characters_present,line_count,dialogue_count,lyric_count,dialogue_density,lyric_density,speech_density,stage_direction_count,narration_count,llm_error
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__000,0,序幕/前置内容,1,1,28,,,# 《回荆州》；# （一名：《美人计》；一名：《龙凤呈祥》）,命令,# 《回荆州》；# （一名：《美人计》；一名：《龙凤呈祥》）,铺垫,0,,忠义；权谋；战争；家国；亲情；公案；喜剧；情爱；离散,引子,,,2,0,0,0.0,0.0,0.0,0,2,
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__001,1,【第一场】,29,29,50,孙尚香宫院,白天,孙尚香设枪刀阵试探刘备，刘备要求撤去后二人相见并商议对策。,试探与信任建立,孙尚香设枪刀阵试探刘备胆量，刘备要求撤去枪刀方进宫，孙尚香撤去后二人相见，刘备告知孙权与周瑜的计谋，孙尚香承诺相助。,发展,3,孙尚香；刘备；侍儿,情爱；使命；英雄气概,推进,刘备向孙尚香坦白孙权与周瑜的计谋，孙尚香承诺相助，二人关系从试探转向合作。,孙尚香；侍儿；刘备；刘备、孙尚香,39,30,5,1.3636,0.2273,1.5909,3,1,
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__002,2,【第二场】,51,51,54,周瑜帐中、刘备新府,刘备招亲后,周瑜设计送信；赵云假报军情劝刘备逃走，孙尚香识破并决定相助。,周瑜设计、赵云劝逃、孙尚香识破,周瑜得知刘备在江南招亲，设计送信孙权；赵云假报曹操攻荆州，劝刘备逃走，孙尚香识破后决定相助。,发展,4,周瑜；赵云；刘备；孙尚香,权谋；亲情；忠义,推进,孙尚香从怀疑到决定协助刘备逃走，关系转变。,周瑜；徐盛；丁奉；赵云；刘备；孙尚香,44,40,4,10.0,1.0,11.0,0,0,
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__003,3,【第五场】,55,55,58,宝帐,刘备过江多日后,张飞质问诸葛亮并受命埋伏芦花荡,质问与下令,张飞因刘备久去未归而怒闯宝帐质问诸葛亮，诸葛亮命其率兵埋伏芦花荡，只拿不杀周瑜。,发展,4,张飞；诸葛亮,忠义；权谋；将帅关系,推进,张飞从愤怒转向接受命令，冲突化解并转向行动,诸葛亮；张飞,16,14,2,3.5,0.5,4.0,0,0,
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__004,4,【第六场】,59,59,62,未知,,张飞过场,过场,张飞独自上场，过场后下场，为后续剧情做简单过渡。,过渡,1,张飞,战争；过渡,过渡,无,,1,0,0,0.0,0.0,0.0,1,0,
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__005,5,【第七场】,63,63,78,江东某地,即刻,刘备一行准备启程离开江东,准备登程,刘备、孙尚香与赵云在江东准备启程回荆州，孙尚香回望江南伤感，赵云决心保护主公安全离开。,过渡,2,刘备；孙尚香；赵云,离散；忠义；归乡,过渡,无显著转折，为离开江东的过渡场景,赵云；刘备；孙尚香,14,10,0,0.625,0.0,0.625,4,0,
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__006,6,【第八场】,79,79,132,江边道路,元旦后，刘备逃离东吴途中,孙尚香斥退吴将丁奉、徐盛，赵云威慑，吴军放行,孙尚香以皇姑身份斥责并命令丁奉、徐盛退让,丁奉、徐盛奉周瑜将令追赶刘备一行，孙尚香怒斥二人，赵云亮枪示威，最终吴将放行，刘备君臣得以脱险。,冲突,4,孙尚香；丁奉；徐盛；赵云；刘备,智勇突围；亲情；忠义；权谋,对峙,孙尚香以皇姑身份和母命祭祖为由，成功压制吴将，使追兵放弃拦截,徐盛；丁奉；刘备；孙尚香；赵云,44,31,2,0.5741,0.037,0.6111,3,8,
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__007,7,【第九场】,133,133,166,行军途中,周瑜下令后,潘璋、陈武领命追赶刘备,追赶,潘璋与陈武奉周瑜将令，率兵追赶刘备，二人互相谦让后由潘璋传令，催促众将加速追赶。,发展,3,潘璋；陈武,追赶；战争；忠义,推进,无转折，为追赶行动的延续,陈武；潘璋,16,7,1,0.2059,0.0294,0.2353,2,6,
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__008,8,【第十场】,167,167,184,江边或途中,白天,孙尚香以皇姑身份喝退追兵，赵云助阵，潘璋、陈武无奈放行。,孙尚香斥责并威慑追兵,孙尚香斥退潘璋、陈武追兵，与赵云保护刘备逃回荆州，周瑜计谋失败。,高潮,4,孙尚香；潘璋；陈武；赵云,智勇；身份权威；忠义；权谋,对峙,孙尚香以身份和言辞迫使追兵退让，刘备脱险，周瑜计划受挫。,刘备；孙尚香；潘璋；陈武；潘璋、陈武；赵云,29,23,2,1.2778,0.1111,1.3889,2,2,
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__009,9,【第十一场】,185,185,270,途中,刘备、皇姑被放行后,蒋钦传达吴侯旨意，出示尚方宝剑，命令众将追赶并斩杀刘备、郡主，活捉赵云。,传令追赶,蒋钦等奉吴侯旨意追赶刘备，遇陈武等返回，得知刘备、皇姑已被放行。蒋钦出示尚方宝剑，欲先杀郡主、刘备，后活捉赵云，众将奉命追赶。,发展,4,蒋钦；陈武；潘璋；丁奉；徐盛,追杀；战争；忠义,推进,冲突升级：蒋钦带来尚方宝剑，追杀命令从追赶变为斩杀，目标明确。,甘宁；蒋钦；马忠；周泰；徐盛；马忠、周泰、甘宁、陈武、潘璋、丁奉、徐盛,43,20,1,0.2326,0.0116,0.2442,2,20,
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__010,10,【第十二场】,271,271,276,未知,未知,周瑜感叹计谋失败，羞愤退场。,感叹与退场,周瑜因计谋失败、刘备携孙尚香逃离而懊悔，感叹失去明珠，羞愤难当，率众退场。,收束,3,周瑜,失败；羞耻；权谋,收束,无转折，为前场冲突的收束。,周瑜,2,1,0,0.1667,0.0,0.1667,1,0,
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__011,11,【第十三场】,277,277,282,江边或路上,刘备回荆州途中,诸葛亮与东吴八将对峙，劝退追兵,劝退,诸葛亮以智谋应对东吴八将的追杀，劝其放弃脂粉之计，八将放箭后无奈回报都督。,收束,3,诸葛亮；蒋钦；马忠；周泰；甘宁；陈武；潘璋；丁奉；徐盛,权谋；对抗；和解,收束,诸葛亮以言辞化解直接冲突，八将放箭后撤退，未造成实质伤害,蒋钦、马忠、周泰、甘宁、陈武、潘璋、丁奉、徐盛；诸葛亮,4,4,0,0.6667,0.0,0.6667,0,0,
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__012,12,【第十四场】,283,283,288,未知,未知,众人总结脱险经历，斥责周瑜计谋。,斥责与总结,刘备脱险后，众人斥责周瑜计谋，诸葛亮、刘备、赵云、孙尚香共同表达对周瑜的愤慨与胜利的喜悦。,收束,2,刘备；孙尚香；诸葛亮；赵云,权谋；忠义；胜利,收束,无转折，为事件收束。,诸葛亮；刘备；孙尚香；赵云,7,6,0,1.0,0.0,1.0,1,0,
