doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01005012___3a15b05878,海潮珠,崔杼,棠姜,对抗,10,同场共现；对抗；对话,我这里手使剑忙赶上，追杀贱人走一场。,llm_refined,0.95
pdf_01000000__01005012___3a15b05878,海潮珠,崔杼,齐王,对抗,9,对抗；对话,崔杼怒斥'好昏王',llm_refined,0.9
pdf_01000000__01005012___3a15b05878,海潮珠,齐王,崔杼,对抗,8,对抗；对话,齐王假意探病，实则与棠姜密谋害死崔杼,llm_refined,0.9
pdf_01000000__01005012___3a15b05878,海潮珠,棠姜,崔杼,对话,7,对话,哦!,llm_refined,0.8
pdf_01000000__01005012___3a15b05878,海潮珠,棠姜,齐王,协助,7,协助；对话,二人约定花园调情，齐王许诺明日接棠姜进宫,llm_refined,0.9
pdf_01000000__01005012___3a15b05878,海潮珠,大夫,崔杼,协助,6,协助；对话,大夫承诺担当保幼主登基,llm_refined,0.85
pdf_01000000__01005012___3a15b05878,海潮珠,大夫,齐王,汇报,6,对话；汇报,大夫奏报崔子回朝,llm_refined,0.85
pdf_01000000__01005012___3a15b05878,海潮珠,崔杼,大夫,协助,6,协助；对话,崔杼与大夫商议保幼主登基,llm_refined,0.85
pdf_01000000__01005012___3a15b05878,海潮珠,大夫,太监,对抗,5,对抗；对话,大夫说有病回朝，太监反驳假意得病,llm_refined,0.8
pdf_01000000__01005012___3a15b05878,海潮珠,太监,齐王,同场共现,5,劝阻；同场共现；对话,（齐王、太监、大夫、四龙套同上。）,llm_refined,0.7
pdf_01000000__01005012___3a15b05878,海潮珠,崔杼,太监,对抗,5,同场共现；对抗,崔杼杀太监,llm_refined,0.9
pdf_01000000__01005012___3a15b05878,海潮珠,齐王,太监,命令,5,命令；对话,齐王命太监摆驾探病,llm_refined,0.9
pdf_01000000__01005012___3a15b05878,海潮珠,崔杼,家院,命令,4,命令；对话,叫家院近前来细听端详：进府去对夫人把话言讲，你就说我老爷得病回乡。,llm_refined,0.9
pdf_01000000__01005012___3a15b05878,海潮珠,齐王,大夫,对话,4,对话,卿家平身。,llm_refined,0.8
pdf_01000000__01005012___3a15b05878,海潮珠,齐王,棠姜,对话,4,对话,"卿家若是你死了,你妻有孤照应。",llm_refined,0.8
pdf_01000000__01005012___3a15b05878,海潮珠,家院,棠姜,汇报,3,对话；汇报,老爷回府。,llm_refined,0.8
pdf_01000000__01005012___3a15b05878,海潮珠,太监,大夫,对话,2,对话,这是什么花？,llm_refined,0.7
pdf_01000000__01005012___3a15b05878,海潮珠,棠姜,家院,对话,2,对话,"但不知他请我所为何情?将身儿来至在二堂以上,问家院你请我所为何情?",llm_refined,0.7
pdf_01000000__01005012___3a15b05878,海潮珠,龙套,齐王,同场共现,2,同场共现,（齐王、太监、大夫、四龙套同上。）,llm_refined,0.6
pdf_01000000__01005012___3a15b05878,海潮珠,太监,龙套,同场共现,1,同场共现,（齐王、太监、大夫、四龙套同上。）,llm_refined,0.5
pdf_01000000__01005012___3a15b05878,海潮珠,家院,崔杼,对话,1,对话,参见老爷。,llm_refined,0.7
pdf_01000000__01005012___3a15b05878,海潮珠,家院,龙套甲,对话,1,对话,何事?,llm_refined,0.6
pdf_01000000__01005012___3a15b05878,海潮珠,齐王,家院,对话,1,对话,去去去!,llm_refined,0.7
pdf_01000000__01005012___3a15b05878,海潮珠,龙套,太监,同场共现,1,同场共现,（齐王、太监、大夫、四龙套同上。）,llm_refined,0.5
pdf_01000000__01005012___3a15b05878,海潮珠,龙套甲,崔杼,对话,1,对话,大王过府探病。,llm_refined,0.7
