doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01005012___3a15b05878,海潮珠,家国,3,大夫上殿奏报崔子回朝，太监进谗言诬其假病，齐王听信欲问斩，大夫建议探病，太监借故告假，齐王执意摆驾。,llm
pdf_01000000__01005012___3a15b05878,海潮珠,背叛,3,崔杼回府假称得病，试探棠姜，发现其前往花园降香，疑其有私，持剑追杀。,llm
pdf_01000000__01005012___3a15b05878,海潮珠,亲情,2,# 《海潮珠》；# （一名：《崔子弑君》；一名：《碧尘帕》）,keyword
pdf_01000000__01005012___3a15b05878,海潮珠,复仇,2,崔杼回府假称得病，试探棠姜，发现其前往花园降香，疑其有私，持剑追杀。,llm
pdf_01000000__01005012___3a15b05878,海潮珠,权力斗争,2,崔杼装病试探棠姜，棠姜借机与齐王调情，崔杼暗中窥见二人私会，愤怒斥责奸夫淫妇。,llm
pdf_01000000__01005012___3a15b05878,海潮珠,权谋,2,# 《海潮珠》；# （一名：《崔子弑君》；一名：《碧尘帕》）,keyword
pdf_01000000__01005012___3a15b05878,海潮珠,离散,2,# 《海潮珠》；# （一名：《崔子弑君》；一名：《碧尘帕》）,keyword
pdf_01000000__01005012___3a15b05878,海潮珠,同盟,1,崔杼与大夫合谋，崔杼杀太监后欲进宫杀院，大夫建议保幼主登基并承诺担当，二人达成同盟。,llm
pdf_01000000__01005012___3a15b05878,海潮珠,嫉妒,1,崔杼装病试探棠姜，棠姜借机与齐王调情，崔杼暗中窥见二人私会，愤怒斥责奸夫淫妇。,llm
pdf_01000000__01005012___3a15b05878,海潮珠,忠义,1,大夫上殿奏报崔子回朝，太监进谗言诬其假病，齐王听信欲问斩，大夫建议探病，太监借故告假，齐王执意摆驾。,llm
pdf_01000000__01005012___3a15b05878,海潮珠,情爱,1,崔杼装病试探棠姜，棠姜借机与齐王调情，崔杼暗中窥见二人私会，愤怒斥责奸夫淫妇。,llm
pdf_01000000__01005012___3a15b05878,海潮珠,政变,1,崔杼与大夫合谋，崔杼杀太监后欲进宫杀院，大夫建议保幼主登基并承诺担当，二人达成同盟。,llm
pdf_01000000__01005012___3a15b05878,海潮珠,权力,1,崔杼追杀棠姜，棠姜求饶，崔杼怒斥其为贱人并杀死棠姜，冲突达到高潮。,llm
pdf_01000000__01005012___3a15b05878,海潮珠,猜忌,1,崔杼回府假称得病，试探棠姜，发现其前往花园降香，疑其有私，持剑追杀。,llm
pdf_01000000__01005012___3a15b05878,海潮珠,谗言惑主,1,大夫上殿奏报崔子回朝，太监进谗言诬其假病，齐王听信欲问斩，大夫建议探病，太监借故告假，齐王执意摆驾。,llm
