doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01004014___d6eca0fe85,遗翠花,1,【第一场】,【第一场】,相思,相思,1,相公；翠香；翠香相公,相公因相思病困坐书房，丫鬟翠香奉小姐之命前来下书，二人相见后相公得知小姐心意，欲写回书并托翠香传递，翠香应允并暗示未来需另眼相待。,llm
pdf_01000000__01004014___d6eca0fe85,遗翠花,1,【第一场】,【第一场】,传情,情爱,1,相公；翠香；翠香相公,相公因相思病困坐书房，丫鬟翠香奉小姐之命前来下书，二人相见后相公得知小姐心意，欲写回书并托翠香传递，翠香应允并暗示未来需另眼相待。,llm
pdf_01000000__01004014___d6eca0fe85,遗翠花,1,【第一场】,【第一场】,主仆关系,主仆关系,1,相公；翠香；翠香相公,相公因相思病困坐书房，丫鬟翠香奉小姐之命前来下书，二人相见后相公得知小姐心意，欲写回书并托翠香传递，翠香应允并暗示未来需另眼相待。,llm
pdf_01000000__01004014___d6eca0fe85,遗翠花,2,【第二场】,【第二场】,私情,情爱,1,小姐；相公；翠香,翠香受小姐之命去请相公，相公急于成亲，翠香暗示索要媒人礼，最终以‘外’（私情）达成默契。,llm
pdf_01000000__01004014___d6eca0fe85,遗翠花,2,【第二场】,【第二场】,试探,试探,1,小姐；相公；翠香,翠香受小姐之命去请相公，相公急于成亲，翠香暗示索要媒人礼，最终以‘外’（私情）达成默契。,llm
pdf_01000000__01004014___d6eca0fe85,遗翠花,2,【第二场】,【第二场】,阶级,阶级,1,小姐；相公；翠香,翠香受小姐之命去请相公，相公急于成亲，翠香暗示索要媒人礼，最终以‘外’（私情）达成默契。,llm
pdf_01000000__01004014___d6eca0fe85,遗翠花,3,【第三场】,【第三场】,私情,情爱,1,小姐；相公；翠香；老夫人,翠香引相公入小姐绣阁，小姐责备相公闯入，老夫人突至，翠香遮掩，最终老夫人发现相公，斥责其行为不端。,llm
pdf_01000000__01004014___d6eca0fe85,遗翠花,3,【第三场】,【第三场】,闺门礼教,闺门礼教,1,小姐；相公；翠香；老夫人,翠香引相公入小姐绣阁，小姐责备相公闯入，老夫人突至，翠香遮掩，最终老夫人发现相公，斥责其行为不端。,llm
pdf_01000000__01004014___d6eca0fe85,遗翠花,3,【第三场】,【第三场】,欺骗与暴露,欺骗与暴露,1,小姐；相公；翠香；老夫人,翠香引相公入小姐绣阁，小姐责备相公闯入，老夫人突至，翠香遮掩，最终老夫人发现相公，斥责其行为不端。,llm
pdf_01000000__01004014___d6eca0fe85,遗翠花,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《遗翠花》；# （一名：《翠春寄柬》）,keyword
pdf_01000000__01004014___d6eca0fe85,遗翠花,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《遗翠花》；# （一名：《翠春寄柬》）,keyword
pdf_01000000__01004014___d6eca0fe85,遗翠花,0,序幕/前置内容,序幕/前置内容,情爱,情爱,1,,# 《遗翠花》；# （一名：《翠春寄柬》）,keyword
