doc_id,doc_title,char_id,role_name,alias_names,role_type_raw,role_type_inferred,gender_inferred,age_inferred,status_identity,personality_tags,behavior_tags,speech_style,narrative_function,line_count,scene_coverage,scene_count_present,centrality_hint,evidence,source_line,raw,confidence,llm_error,role_note
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__char__f94edb22f8,诸葛亮,孔明；诸葛；诸葛孔明,老生,老生,男,中年,蜀汉军师,足智多谋；从容自信；料事如神,观天象；立军令状；与周瑜斗智,文雅；简洁；略带挑衅,主角,60,3；4；5,3,0.7109,"诸葛亮（西皮摇板）昨夜晚观天象早已算定,曹孟德中巧计自杀水军。 诸葛亮（白）三日交箭。",7,诸葛亮：老生,0.95,,
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__char__95719ec611,周瑜,,小生,小生,男,青年,东吴大都督,智勇双全；心胸狭窄；嫉贤妒能,设反间计；欲杀诸葛亮；宴请蒋干,激昂；果断；暗藏杀机,主角,84,1；2；3；6,4,1.0,"周瑜（白）孔明吓,我不杀你,誓不为人也。 周瑜（白）大夫,蒋干过江,必与曹操做说客而来,待我略施小计,管叫曹操中计。",9,周瑜：小生,0.95,,
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__char__d1e3ecb867,鲁肃,,老生,老生,男,中年,东吴谋士,忠厚老实；谨慎；忠诚,传令；报信；担忧,直白；恭敬；略带忧虑,配角,67,1；2；3；4；5；6,6,0.763,鲁肃（白）将令追回。 鲁肃（西皮摇板）怕只怕瞒不过南阳诸葛。,11,鲁肃：老生,0.9,,
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__char__d7ced696d8,蒋干,,丑,丑,男,中年,曹操谋士,自作聪明；迂腐；易受骗,过江说降；盗书；中计,客套；慌张；自以为是,功能性角色,39,1；2；3；4,4,0.455,"蒋干（白）贤弟。 蒋干（白）虽是戏言,兄却脸上无光。",13,蒋干：丑,0.9,,
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__char__80042e74d8,曹操,孟德,净,净,男,老年,魏王,多疑；残暴；雄才大略,杀蔡瑁张允；饮酒；问计,威严；暴躁；自负,配角,9,3；4,2,0.1659,"曹操（西皮摇板）每日里饮琼浆醺醺大醉,我心中想不起一条计策。 曹操（白）周郎降意如何?",15,曹操：净,0.9,,
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__char__31774bed7f,黄盖,,净,净,男,老年,东吴老将,忠勇；刚烈；有谋略,起霸；报信；献苦肉计,豪迈；直接；激昂,配角,7,1；2；3,3,0.1137,"黄盖（念） 黄盖（白）今有蔡瑁、张允,有书到来,不用七日只用三天,定取曹操首级来见。",17,黄盖：净,0.85,,
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__char__98ac70aa97,甘宁,,净,净,男,中年,东吴大将,勇猛；自信；忠诚,起霸；报信；听令,豪迈；简洁；有力,配角,5,1；3,2,0.0853,甘宁（念）东吴大将是甘宁，文韬武略肚内存。 甘宁（白）蒋干过江。,19,甘宁：净,0.85,,
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__char__ba9742aaab,蔡中,,小生,小生,男,青年,荆州降将,投降；无主见,投降东吴,无台词,功能性角色,0,,0,0.0332,黄盖（白）启都督:今有蔡中、蔡和辕门投降。,21,蔡中：小生,0.7,,
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__char__18a5631b16,蔡和,,小生,小生,男,青年,荆州降将，曹操部将,忠诚度低；易被利用,投降；被派往东吴诈降,直接；简短,功能性角色,0,,0,0.0047,黄盖（白）启都督:今有蔡中、蔡和辕门投降。,23,蔡和：小生,0.8,,
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__char__17cd0b6ae8,蔡瑁,,净,净,男,中年,荆州降将，曹操水军都督,有才能；被猜忌；结局悲惨,投降曹操；训练水军；被曹操斩杀,恭敬；谨慎,配角,0,,0,0.0237,"鲁肃（白）荆州降将,蔡瑁、张允二贼。 黄盖（白）今有蔡瑁、张允,有书到来,不用七日只用三天,定取曹操首级来见。 鲁肃（西皮摇板）曹孟德果杀了蔡瑁、张允,周都督他算得天下能人。",25,蔡瑁：净,0.9,,
