doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01006004___706c19cd15,九更天,1,【第一场】,【第一场】,梦兆,梦兆,1,米进途；陶氏；马义,米进途因梦兆与马义赶回家中，发现兄长已死，陶氏穿孝，米进途欲守灵，陶氏欲陪伴，暗示奸情与阴谋。,llm
pdf_01000000__01006004___706c19cd15,九更天,1,【第一场】,【第一场】,死亡,悲情,1,米进途；陶氏；马义,米进途因梦兆与马义赶回家中，发现兄长已死，陶氏穿孝，米进途欲守灵，陶氏欲陪伴，暗示奸情与阴谋。,llm
pdf_01000000__01006004___706c19cd15,九更天,1,【第一场】,【第一场】,奸情,情爱,1,米进途；陶氏；马义,米进途因梦兆与马义赶回家中，发现兄长已死，陶氏穿孝，米进途欲守灵，陶氏欲陪伴，暗示奸情与阴谋。,llm
pdf_01000000__01006004___706c19cd15,九更天,1,【第一场】,【第一场】,怀疑,怀疑,1,米进途；陶氏；马义,米进途因梦兆与马义赶回家中，发现兄长已死，陶氏穿孝，米进途欲守灵，陶氏欲陪伴，暗示奸情与阴谋。,llm
pdf_01000000__01006004___706c19cd15,九更天,2,【第三场】,【第三场】,冤案,公案,1,二衙役；侯花嘴；米进途；衙役乙；衙役甲；马义,侯花嘴向衙役举报米进途杀死寡嫂，衙役前往米家拘捕米进途，马义见状决定去衙前打听消息。,llm
pdf_01000000__01006004___706c19cd15,九更天,2,【第三场】,【第三场】,举报,举报,1,二衙役；侯花嘴；米进途；衙役乙；衙役甲；马义,侯花嘴向衙役举报米进途杀死寡嫂，衙役前往米家拘捕米进途，马义见状决定去衙前打听消息。,llm
pdf_01000000__01006004___706c19cd15,九更天,2,【第三场】,【第三场】,司法介入,司法介入,1,二衙役；侯花嘴；米进途；衙役乙；衙役甲；马义,侯花嘴向衙役举报米进途杀死寡嫂，衙役前往米家拘捕米进途，马义见状决定去衙前打听消息。,llm
pdf_01000000__01006004___706c19cd15,九更天,3,【第四场】,【第四场】,诬告,诬告,1,二衙役；侯花嘴；知县；米进途,侯花嘴诬告米进途杀死寡嫂，知县受理案件并决定先验尸再审理。,llm
pdf_01000000__01006004___706c19cd15,九更天,3,【第四场】,【第四场】,司法程序,司法程序,1,二衙役；侯花嘴；知县；米进途,侯花嘴诬告米进途杀死寡嫂，知县受理案件并决定先验尸再审理。,llm
pdf_01000000__01006004___706c19cd15,九更天,3,【第四场】,【第四场】,冤案,公案,1,二衙役；侯花嘴；知县；米进途,侯花嘴诬告米进途杀死寡嫂，知县受理案件并决定先验尸再审理。,llm
pdf_01000000__01006004___706c19cd15,九更天,4,【第五场】,【第五场】,奸情,情爱,1,侯花嘴；陶氏,侯花嘴办妥报呈后返回，告知陶氏她已死，不能回家，安排她暂住自己家中饮酒睡觉。,llm
pdf_01000000__01006004___706c19cd15,九更天,4,【第五场】,【第五场】,阴谋,权谋,1,侯花嘴；陶氏,侯花嘴办妥报呈后返回，告知陶氏她已死，不能回家，安排她暂住自己家中饮酒睡觉。,llm
pdf_01000000__01006004___706c19cd15,九更天,4,【第五场】,【第五场】,欺骗,欺骗,1,侯花嘴；陶氏,侯花嘴办妥报呈后返回，告知陶氏她已死，不能回家，安排她暂住自己家中饮酒睡觉。,llm
pdf_01000000__01006004___706c19cd15,九更天,5,【第六场】,【第六场】,司法,司法,1,知县；米进途,知县升堂，命令衙役将米进途带上，准备审问，为后续剧情发展铺垫。,llm
pdf_01000000__01006004___706c19cd15,九更天,5,【第六场】,【第六场】,权力,权力,1,知县；米进途,知县升堂，命令衙役将米进途带上，准备审问，为后续剧情发展铺垫。,llm
pdf_01000000__01006004___706c19cd15,九更天,6,【第七场】,【第七场】,忠义,忠义,1,马义；马女；马妻,马义回家告知二东人被冤判死罪，需人头救主。马妻不舍女儿，马女自刎献头，马义割头准备救主。,llm
pdf_01000000__01006004___706c19cd15,九更天,6,【第七场】,【第七场】,牺牲,牺牲,1,马义；马女；马妻,马义回家告知二东人被冤判死罪，需人头救主。马妻不舍女儿，马女自刎献头，马义割头准备救主。,llm
pdf_01000000__01006004___706c19cd15,九更天,6,【第七场】,【第七场】,家庭伦理,亲情,1,马义；马女；马妻,马义回家告知二东人被冤判死罪，需人头救主。马妻不舍女儿，马女自刎献头，马义割头准备救主。,llm
