doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01006002___ebf44f4611,战长沙,1,【第一场】,【第一场】,英雄气概,英雄气概,1,关羽,关羽率军出征长沙，自述英勇与韬略，表达夺取长沙的决心，展现其自信与豪迈。,llm
pdf_01000000__01006002___ebf44f4611,战长沙,1,【第一场】,【第一场】,征战,战争,1,关羽,关羽率军出征长沙，自述英勇与韬略，表达夺取长沙的决心，展现其自信与豪迈。,llm
pdf_01000000__01006002___ebf44f4611,战长沙,2,【第二场】,【第二场】,忠勇,忠义,1,手下；报子；韩玄；魏延；黄忠,韩玄升帐，与黄忠、魏延商议应对关羽攻长沙。黄忠请战，魏延劝阻，韩玄命黄忠出战，魏延催粮。,llm
pdf_01000000__01006002___ebf44f4611,战长沙,2,【第二场】,【第二场】,老当益壮,老当益壮,1,手下；报子；韩玄；魏延；黄忠,韩玄升帐，与黄忠、魏延商议应对关羽攻长沙。黄忠请战，魏延劝阻，韩玄命黄忠出战，魏延催粮。,llm
pdf_01000000__01006002___ebf44f4611,战长沙,2,【第二场】,【第二场】,将帅矛盾,将帅矛盾,1,手下；报子；韩玄；魏延；黄忠,韩玄升帐，与黄忠、魏延商议应对关羽攻长沙。黄忠请战，魏延劝阻，韩玄命黄忠出战，魏延催粮。,llm
pdf_01000000__01006002___ebf44f4611,战长沙,3,【第三场】,【第三场】,英雄对峙,英雄对峙,1,关羽；黄忠,关羽与黄忠阵前对峙，关羽自夸己方阵营威势，黄忠则冷静观察，双方言语交锋，为后续战斗铺垫。,llm
pdf_01000000__01006002___ebf44f4611,战长沙,3,【第三场】,【第三场】,忠义与立场,忠义,1,关羽；黄忠,关羽与黄忠阵前对峙，关羽自夸己方阵营威势，黄忠则冷静观察，双方言语交锋，为后续战斗铺垫。,llm
pdf_01000000__01006002___ebf44f4611,战长沙,3,【第三场】,【第三场】,战争与荣耀,战争,1,关羽；黄忠,关羽与黄忠阵前对峙，关羽自夸己方阵营威势，黄忠则冷静观察，双方言语交锋，为后续战斗铺垫。,llm
pdf_01000000__01006002___ebf44f4611,战长沙,4,【第四场】,【第四场】,义气,忠义,1,关羽；黄忠,关羽与黄忠交战，黄忠马失前蹄落马，关羽不杀落马之人，放其归去，展现义气。,llm
pdf_01000000__01006002___ebf44f4611,战长沙,4,【第四场】,【第四场】,英雄相惜,英雄相惜,1,关羽；黄忠,关羽与黄忠交战，黄忠马失前蹄落马，关羽不杀落马之人，放其归去，展现义气。,llm
pdf_01000000__01006002___ebf44f4611,战长沙,4,【第四场】,【第四场】,战争与人性,战争,1,关羽；黄忠,关羽与黄忠交战，黄忠马失前蹄落马，关羽不杀落马之人，放其归去，展现义气。,llm
pdf_01000000__01006002___ebf44f4611,战长沙,5,【第五场】,【第五场】,忠义抉择,忠义,1,关羽；报子；韩玄；黄忠,韩玄下令黄忠擒杀关羽，否则处死；黄忠感念关羽不杀之恩，决定明日只射盔缨报恩。关羽迎战黄忠，二人阵前对峙。,llm
pdf_01000000__01006002___ebf44f4611,战长沙,5,【第五场】,【第五场】,报恩,报恩,1,关羽；报子；韩玄；黄忠,韩玄下令黄忠擒杀关羽，否则处死；黄忠感念关羽不杀之恩，决定明日只射盔缨报恩。关羽迎战黄忠，二人阵前对峙。,llm
pdf_01000000__01006002___ebf44f4611,战长沙,5,【第五场】,【第五场】,将帅矛盾,将帅矛盾,1,关羽；报子；韩玄；黄忠,韩玄下令黄忠擒杀关羽，否则处死；黄忠感念关羽不杀之恩，决定明日只射盔缨报恩。关羽迎战黄忠，二人阵前对峙。,llm
pdf_01000000__01006002___ebf44f4611,战长沙,6,【第七场】,【第七场】,忠义抉择,忠义,1,关羽；韩玄；魏延；黄忠,黄忠阵前箭射关羽盔缨不伤其命，韩玄疑其通敌欲斩之，魏延求情不成反杀韩玄，劝黄忠归顺桃园。,llm
pdf_01000000__01006002___ebf44f4611,战长沙,6,【第七场】,【第七场】,背叛与归顺,背叛与归顺,1,关羽；韩玄；魏延；黄忠,黄忠阵前箭射关羽盔缨不伤其命，韩玄疑其通敌欲斩之，魏延求情不成反杀韩玄，劝黄忠归顺桃园。,llm
pdf_01000000__01006002___ebf44f4611,战长沙,6,【第七场】,【第七场】,仁德感召,仁德感召,1,关羽；韩玄；魏延；黄忠,黄忠阵前箭射关羽盔缨不伤其命，韩玄疑其通敌欲斩之，魏延求情不成反杀韩玄，劝黄忠归顺桃园。,llm
pdf_01000000__01006002___ebf44f4611,战长沙,0,序幕/前置内容,序幕/前置内容,忠义,忠义,1,,# 《战长沙》,keyword
pdf_01000000__01006002___ebf44f4611,战长沙,0,序幕/前置内容,序幕/前置内容,权谋,权谋,1,,# 《战长沙》,keyword
pdf_01000000__01006002___ebf44f4611,战长沙,0,序幕/前置内容,序幕/前置内容,战争,战争,1,,# 《战长沙》,keyword
pdf_01000000__01006002___ebf44f4611,战长沙,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《战长沙》,keyword
pdf_01000000__01006002___ebf44f4611,战长沙,0,序幕/前置内容,序幕/前置内容,喜剧,喜剧,1,,# 《战长沙》,keyword
pdf_01000000__01006002___ebf44f4611,战长沙,0,序幕/前置内容,序幕/前置内容,情爱,情爱,1,,# 《战长沙》,keyword
