doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01004015___871e6f9883,新安驿,1,【第一场】,【第一场】,黑店谋财,权谋,1,李氏,周门李氏在新安驿开设黑店，因连日下雨无生意，今日天晴挂出幌子，招揽住店客人，意图杀人劫财。,llm
pdf_01000000__01004015___871e6f9883,新安驿,1,【第一场】,【第一场】,生存困境,生存困境,1,李氏,周门李氏在新安驿开设黑店，因连日下雨无生意，今日天晴挂出幌子，招揽住店客人，意图杀人劫财。,llm
pdf_01000000__01004015___871e6f9883,新安驿,2,【第二场】,【第二场】,性别伪装,离散,1,周凤英；李氏；罗雁；赵美容,赵美容与女扮男装的罗雁投宿新安驿，店主李氏识破二人身份并灌醉罗雁。李氏之女周凤英夜持刀欲杀客，却因罗雁俊雅而心动，李氏趁机向罗雁提亲。,llm
pdf_01000000__01004015___871e6f9883,新安驿,2,【第二场】,【第二场】,复仇与逃亡,悲情,1,周凤英；李氏；罗雁；赵美容,赵美容与女扮男装的罗雁投宿新安驿，店主李氏识破二人身份并灌醉罗雁。李氏之女周凤英夜持刀欲杀客，却因罗雁俊雅而心动，李氏趁机向罗雁提亲。,llm
pdf_01000000__01004015___871e6f9883,新安驿,2,【第二场】,【第二场】,爱情与婚姻,情爱,1,周凤英；李氏；罗雁；赵美容,赵美容与女扮男装的罗雁投宿新安驿，店主李氏识破二人身份并灌醉罗雁。李氏之女周凤英夜持刀欲杀客，却因罗雁俊雅而心动，李氏趁机向罗雁提亲。,llm
pdf_01000000__01004015___871e6f9883,新安驿,2,【第二场】,【第二场】,身份错位,身份错位,1,周凤英；李氏；罗雁；赵美容,赵美容与女扮男装的罗雁投宿新安驿，店主李氏识破二人身份并灌醉罗雁。李氏之女周凤英夜持刀欲杀客，却因罗雁俊雅而心动，李氏趁机向罗雁提亲。,llm
pdf_01000000__01004015___871e6f9883,新安驿,3,【第三场】,【第三场】,身份伪装,身份伪装,1,周凤英；李氏；罗雁；赵美容,周凤英与罗雁拜堂入洞房，周凤英发现罗雁是女子，李氏得知后大怒，赵美容提议去龙山找哥哥解决。,llm
pdf_01000000__01004015___871e6f9883,新安驿,3,【第三场】,【第三场】,性别错位,离散,1,周凤英；李氏；罗雁；赵美容,周凤英与罗雁拜堂入洞房，周凤英发现罗雁是女子，李氏得知后大怒，赵美容提议去龙山找哥哥解决。,llm
pdf_01000000__01004015___871e6f9883,新安驿,3,【第三场】,【第三场】,婚姻闹剧,喜剧,1,周凤英；李氏；罗雁；赵美容,周凤英与罗雁拜堂入洞房，周凤英发现罗雁是女子，李氏得知后大怒，赵美容提议去龙山找哥哥解决。,llm
pdf_01000000__01004015___871e6f9883,新安驿,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《新安驿》 （一名：《女强盗》）,keyword
pdf_01000000__01004015___871e6f9883,新安驿,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《新安驿》 （一名：《女强盗》）,keyword
pdf_01000000__01004015___871e6f9883,新安驿,0,序幕/前置内容,序幕/前置内容,公案,公案,1,,# 《新安驿》 （一名：《女强盗》）,keyword
pdf_01000000__01004015___871e6f9883,新安驿,0,序幕/前置内容,序幕/前置内容,喜剧,喜剧,1,,# 《新安驿》 （一名：《女强盗》）,keyword
pdf_01000000__01004015___871e6f9883,新安驿,0,序幕/前置内容,序幕/前置内容,情爱,情爱,1,,# 《新安驿》 （一名：《女强盗》）,keyword
pdf_01000000__01004015___871e6f9883,新安驿,0,序幕/前置内容,序幕/前置内容,离散,离散,1,,# 《新安驿》 （一名：《女强盗》）,keyword
