doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01002012___6c0f4ca58e,白门楼,忠义,6,刘备、关羽、张飞兄弟三人同赴辕门，准备听从曹操调令发兵徐州，展现兄弟齐心共保汉室的决心。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,悲情,5,吕布在徐州与貂蝉饮酒作乐，陈宫、张辽先后急报曹操来袭及侯成盗马盗戟，吕布惊觉危机，貂蝉假意担忧。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,战争,4,曹操与刘备会合，众将起霸点兵，曹操下令攻打徐州，刘备领命协同众将捉拿吕布。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,英雄末路,4,吕布与曹操阵营将领会阵开打，刘备、关羽、张飞加入战斗，双方混战，吕布一方处于劣势。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,使命,2,貂蝉独自上场，悲呼温侯，随即被李典、乐进、许褚、曹洪四将擒获，剧情急转直下。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,权谋,2,陈宫与张辽商议应对敌军，陈宫命张辽抵挡，张辽出战被擒。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,众叛亲离,1,吕布因陈宫、张辽被擒，貂蝉被抢，陷入困境，但仍决意舍死忘生一战，最终被众将擒获。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,对抗,1,吕布与曹操阵营将领会阵开打，刘备、关羽、张飞加入战斗，双方混战，吕布一方处于劣势。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,情爱,1,# 《白门楼》,keyword
pdf_01000000__01002012___6c0f4ca58e,白门楼,权力争夺,1,曹操与刘备会合，众将起霸点兵，曹操下令攻打徐州，刘备领命协同众将捉拿吕布。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,沉溺酒色,1,吕布在徐州与貂蝉饮酒作乐，陈宫、张辽先后急报曹操来袭及侯成盗马盗戟，吕布惊觉危机，貂蝉假意担忧。,llm
pdf_01000000__01002012___6c0f4ca58e,白门楼,联盟与背叛,1,曹操与刘备会合，众将起霸点兵，曹操下令攻打徐州，刘备领命协同众将捉拿吕布。,llm
