doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01004010___47767989be,双投唐,2,【第二场】,【第二场】,忠义,忠义,1,李密；王伯党,王伯党未能追上徐勣、魏征，李密怀疑其念及结拜放走二人。王伯党表明忠心，劝李密降唐，李密不舍荣耀，最终同意。,llm
pdf_01000000__01004010___47767989be,双投唐,2,【第二场】,【第二场】,信任,使命,1,李密；王伯党,王伯党未能追上徐勣、魏征，李密怀疑其念及结拜放走二人。王伯党表明忠心，劝李密降唐，李密不舍荣耀，最终同意。,llm
pdf_01000000__01004010___47767989be,双投唐,2,【第二场】,【第二场】,抉择,抉择,1,李密；王伯党,王伯党未能追上徐勣、魏征，李密怀疑其念及结拜放走二人。王伯党表明忠心，劝李密降唐，李密不舍荣耀，最终同意。,llm
pdf_01000000__01004010___47767989be,双投唐,2,【第二场】,【第二场】,降唐,降唐,1,李密；王伯党,王伯党未能追上徐勣、魏征，李密怀疑其念及结拜放走二人。王伯党表明忠心，劝李密降唐，李密不舍荣耀，最终同意。,llm
pdf_01000000__01004010___47767989be,双投唐,4,【第六场】,【第六场】,归顺与忠诚,忠义,1,内侍；李世民；李密；王伯党,王伯党引李密降唐，李密因南牢旧仇心存芥蒂，经王伯党劝说后勉强跪拜李世民，李世民承诺不究前嫌，收降李密。,llm
pdf_01000000__01004010___47767989be,双投唐,4,【第六场】,【第六场】,身份与尊严,身份与尊严,1,内侍；李世民；李密；王伯党,王伯党引李密降唐，李密因南牢旧仇心存芥蒂，经王伯党劝说后勉强跪拜李世民，李世民承诺不究前嫌，收降李密。,llm
pdf_01000000__01004010___47767989be,双投唐,4,【第六场】,【第六场】,宽恕与和解,宽恕与和解,1,内侍；李世民；李密；王伯党,王伯党引李密降唐，李密因南牢旧仇心存芥蒂，经王伯党劝说后勉强跪拜李世民，李世民承诺不究前嫌，收降李密。,llm
pdf_01000000__01004010___47767989be,双投唐,5,【第七场】,【第七场】,招安与归顺,招安与归顺,1,内侍；太监；李世民；李密；李渊；王伯党,李世民向李渊引荐李密和王伯党，李渊因旧怨欲治罪李密，但被李世民劝服，封李密为魏国公，并提议将河阳公主许配以安其心。,llm
pdf_01000000__01004010___47767989be,双投唐,5,【第七场】,【第七场】,君臣猜忌,家国,1,内侍；太监；李世民；李密；李渊；王伯党,李世民向李渊引荐李密和王伯党，李渊因旧怨欲治罪李密，但被李世民劝服，封李密为魏国公，并提议将河阳公主许配以安其心。,llm
pdf_01000000__01004010___47767989be,双投唐,5,【第七场】,【第七场】,忠义抉择,忠义,1,内侍；太监；李世民；李密；李渊；王伯党,李世民向李渊引荐李密和王伯党，李渊因旧怨欲治罪李密，但被李世民劝服，封李密为魏国公，并提议将河阳公主许配以安其心。,llm
pdf_01000000__01004010___47767989be,双投唐,5,【第七场】,【第七场】,政治联姻,情爱,1,内侍；太监；李世民；李密；李渊；王伯党,李世民向李渊引荐李密和王伯党，李渊因旧怨欲治罪李密，但被李世民劝服，封李密为魏国公，并提议将河阳公主许配以安其心。,llm
pdf_01000000__01004010___47767989be,双投唐,6,【第八场】,【第八场】,背叛,背叛,1,大太监；宫女；李密；河阳公主；王伯党,李密借征剿山西贼寇之机，在饯行宴上杀死河阳公主，与王伯党商议后持圣旨诈出皇城逃亡。,llm
pdf_01000000__01004010___47767989be,双投唐,6,【第八场】,【第八场】,权力欲望,权力欲望,1,大太监；宫女；李密；河阳公主；王伯党,李密借征剿山西贼寇之机，在饯行宴上杀死河阳公主，与王伯党商议后持圣旨诈出皇城逃亡。,llm
