doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01003011___a844c57d4e,斩黄袍,忠义,7,赵匡胤、郑恩等商议后事，苗顺提议将皇袍加于醉酒的赵匡胤身上，赵匡胤酒醒后被迫接受皇位，众人拥立其为帝。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,使命,4,赵匡胤、郑恩等商议后事，苗顺提议将皇袍加于醉酒的赵匡胤身上，赵匡胤酒醒后被迫接受皇位，众人拥立其为帝。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,亲情,3,郑恩因韩龙进妃之事与赵匡胤激烈争执，赵匡胤怒而将郑恩绑赴午门斩首。高怀德欲保本，但被韩素梅阻挠，决定武装阻刑。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,复仇,3,陶三春得知丈夫郑恩被斩首，儿子失踪，悲痛之下命令众将披挂，准备杀上金殿报仇。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,权谋,3,赵匡胤、郑恩等商议后事，苗顺提议将皇袍加于醉酒的赵匡胤身上，赵匡胤酒醒后被迫接受皇位，众人拥立其为帝。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,权力交接,2,赵匡胤、郑恩等商议后事，苗顺提议将皇袍加于醉酒的赵匡胤身上，赵匡胤酒醒后被迫接受皇位，众人拥立其为帝。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,仪式,1,赵匡胤、郑恩、苗顺、高怀德等人一同拜祭，随后持帖过场，众人同下，为后续剧情铺垫。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,公案,1,韩龙押郑恩法场问斩，郑英探监欲反被郑恩训斥，黄花真人救走郑英，郑恩被斩。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,家国,1,郑恩因韩龙进妃之事与赵匡胤激烈争执，赵匡胤怒而将郑恩绑赴午门斩首。高怀德欲保本，但被韩素梅阻挠，决定武装阻刑。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,幽冥,1,郑恩鬼魂现身，告知陶三春其子被黄花真人救走，母子将在南唐重逢，陶三春悲痛后决意反上金殿报仇。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,战争,1,# 《斩黄袍》 （一名：《斩郑恩》）,keyword
pdf_01000000__01003011___a844c57d4e,斩黄袍,权力,1,黄门官在朝房等候，准备启奏河北韩龙进妃之事。赵匡胤登殿，展现帝王威仪，为后续纳妃事件铺垫。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,权力与猜忌,1,郑恩因韩龙进妃之事与赵匡胤激烈争执，赵匡胤怒而将郑恩绑赴午门斩首。高怀德欲保本，但被韩素梅阻挠，决定武装阻刑。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,权力妥协,1,陶三春为夫报仇兵围皇城，赵匡胤被迫认错，高怀德从中调解，最终赵匡胤答应为郑子明设坛超度，陶三春收兵。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,权力巩固,1,赵匡胤登基，封苗顺为护国军师、高怀德为尚方剑，郑恩提议出赦条安民。韩龙与韩素梅商议进妃，前往汴梁。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,权力斗争,1,陶三春得知丈夫郑恩被斩首，儿子失踪，悲痛之下命令众将披挂，准备杀上金殿报仇。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,权力象征,1,郑恩前往教场祭拜自己的兵器枣阳槊，表达对二哥登基的忠诚与自豪，为后续冲突埋下伏笔。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,烦闷,1,郑英独坐书房，内心烦闷，为后续剧情发展铺垫情绪基调。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,独处,1,郑英独坐书房，内心烦闷，为后续剧情发展铺垫情绪基调。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,登基封赏,1,赵匡胤登基，封苗顺为护国军师、高怀德为尚方剑，郑恩提议出赦条安民。韩龙与韩素梅商议进妃，前往汴梁。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,神秘预示,1,二童子扶神仙上场，神仙书写后，三人一同下场，为后续剧情埋下伏笔。,llm
pdf_01000000__01003011___a844c57d4e,斩黄袍,纳妃,1,黄门官在朝房等候，准备启奏河北韩龙进妃之事。赵匡胤登殿，展现帝王威仪，为后续纳妃事件铺垫。,llm
