doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01002014___534d1c1fdb,宇宙锋,1,【第一场】,【第一场】,抗婚,情爱,1,丫头；丫鬟；秦王；赵艳容；赵高；门官,赵高欲将女儿赵艳容献给秦王，赵艳容抗婚不从，假装疯癫以逃避父命和皇命。,llm
pdf_01000000__01002014___534d1c1fdb,宇宙锋,1,【第一场】,【第一场】,忠孝冲突,忠义,1,丫头；丫鬟；秦王；赵艳容；赵高；门官,赵高欲将女儿赵艳容献给秦王，赵艳容抗婚不从，假装疯癫以逃避父命和皇命。,llm
pdf_01000000__01002014___534d1c1fdb,宇宙锋,1,【第一场】,【第一场】,女性反抗,女性反抗,1,丫头；丫鬟；秦王；赵艳容；赵高；门官,赵高欲将女儿赵艳容献给秦王，赵艳容抗婚不从，假装疯癫以逃避父命和皇命。,llm
pdf_01000000__01002014___534d1c1fdb,宇宙锋,1,【第一场】,【第一场】,权力压迫,权力压迫,1,丫头；丫鬟；秦王；赵艳容；赵高；门官,赵高欲将女儿赵艳容献给秦王，赵艳容抗婚不从，假装疯癫以逃避父命和皇命。,llm
pdf_01000000__01002014___534d1c1fdb,宇宙锋,2,【第二场】,【第二场】,装疯抗暴,装疯抗暴,1,秦王；赵艳容；赵高,赵艳容装疯上殿，以疯言疯语讥讽秦王的荒淫无道，拒绝下跪并揭露其暴政，最终在赵高求情下被罚俸退朝。,llm
pdf_01000000__01002014___534d1c1fdb,宇宙锋,2,【第二场】,【第二场】,忠奸对立,忠义,1,秦王；赵艳容；赵高,赵艳容装疯上殿，以疯言疯语讥讽秦王的荒淫无道，拒绝下跪并揭露其暴政，最终在赵高求情下被罚俸退朝。,llm
pdf_01000000__01002014___534d1c1fdb,宇宙锋,2,【第二场】,【第二场】,女性抗争,女性抗争,1,秦王；赵艳容；赵高,赵艳容装疯上殿，以疯言疯语讥讽秦王的荒淫无道，拒绝下跪并揭露其暴政，最终在赵高求情下被罚俸退朝。,llm
pdf_01000000__01002014___534d1c1fdb,宇宙锋,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《宇宙锋》 （一名：《金殿装疯》）,keyword
pdf_01000000__01002014___534d1c1fdb,宇宙锋,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《宇宙锋》 （一名：《金殿装疯》）,keyword
pdf_01000000__01002014___534d1c1fdb,宇宙锋,0,序幕/前置内容,序幕/前置内容,喜剧,喜剧,1,,# 《宇宙锋》 （一名：《金殿装疯》）,keyword
