doc_id,doc_title,scene_id,scene_index,scene,line_no,start_line,end_line,location,time_hint,main_event,dominant_action,summary,conflict_stage,tension_level,key_characters,theme_labels,scene_function,narrative_turning_point,characters_present,line_count,dialogue_count,lyric_count,dialogue_density,lyric_density,speech_density,stage_direction_count,narration_count,llm_error
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__000,0,序幕/前置内容,1,1,22,,,# 《双投唐》；# （一名：《双带箭》；一名：《断密涧》）,命令,# 《双投唐》；# （一名：《双带箭》；一名：《断密涧》）,铺垫,0,,忠义；战争；亲情；离散,引子,,,2,0,0,0.0,0.0,0.0,0,2,
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__001,1,【第一场】,23,23,30,,,王伯党与四白龙套上场后下场,上场下场,王伯党与四白龙套上场后随即下场，本场为过场戏，无实质剧情推进。,铺垫,1,王伯党,战争；情爱；离散,过渡,无,,2,0,0,0.0,0.0,0.0,2,0,
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__002,2,【第二场】,31,31,50,瓦岗寨,白天,王伯党交令，李密质疑其放走徐勣、魏征，王伯党表忠心并劝李密降唐。,劝说,王伯党未能追上徐勣、魏征，李密怀疑其念及结拜放走二人。王伯党表明忠心，劝李密降唐，李密不舍荣耀，最终同意。,发展,3,李密；王伯党,忠义；使命；抉择；降唐,推进,李密从怀疑到信任王伯党，并决定降唐，完成关键决断。,王伯党；李密,24,17,3,0.85,0.15,1.0,3,1,
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__003,3,【第五场】,51,51,54,,,,命令,,过渡,0,,忠义；战争；亲情；离散,过渡,,,0,0,0,0.0,0.0,0.0,0,0,
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__004,4,【第六场】,55,55,60,荒郊,白天,李密降唐，李世民接受归顺,劝降与归顺,王伯党引李密降唐，李密因南牢旧仇心存芥蒂，经王伯党劝说后勉强跪拜李世民，李世民承诺不究前嫌，收降李密。,转折,3,李世民；李密；王伯党,忠义；身份与尊严；宽恕与和解,推进,李密从抗拒到勉强跪拜，完成身份转变，降唐事件正式启动,李世民；王伯党；内侍；李密,41,35,6,5.8333,1.0,6.8333,0,0,
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__005,5,【第七场】,61,61,64,金殿,白天,李密、王伯党投唐，李渊封赏并决定招驸马,劝谏与决策,李世民向李渊引荐李密和王伯党，李渊因旧怨欲治罪李密，但被李世民劝服，封李密为魏国公，并提议将河阳公主许配以安其心。,发展,3,李渊；李世民；李密；王伯党,招安与归顺；家国；忠义；情爱,推进,李渊从欲治罪转为封赏，并采纳李世民招驸马之策,李渊；太监；内侍；李世民；李密、王伯党；李密；王伯党,39,39,0,9.75,0.0,9.75,0,0,
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__006,6,【第八场】,65,65,72,皇宫内院及宫门外,明早启程前夜,李密杀死河阳公主后与王伯党合谋诈出皇城,李密杀公主并胁迫王伯党协助逃亡,李密借征剿山西贼寇之机，在饯行宴上杀死河阳公主，与王伯党商议后持圣旨诈出皇城逃亡。,高潮,5,李密；河阳公主；王伯党,背叛；权力欲望；家国；悲情,高潮,李密从假装出征转为弑妻逃亡，王伯党从拒绝到被迫协助,河阳公主；大太监；宫女；李密；王伯党,41,36,5,4.5,0.625,5.125,0,0,
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__007,7,【第九场】,73,73,76,,,,命令,,过渡,0,,忠义；战争；亲情；离散,过渡,,,0,0,0,0.0,0.0,0.0,0,0,
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__008,8,【第十场】,77,77,82,山野途中,白天,李密与王伯党因谋反计划产生激烈争执，王伯党指责李密不义，李密反斥王伯党人面兽心。,争吵与指责,李密与王伯党诈出皇城后，王伯党指责李密杀公主、谋篡，二人激烈争吵，李密打马先行，王伯党悔恨错保无义之王。,冲突,4,李密；王伯党,背叛；忠义；权力欲望；悔恨,对峙,王伯党从追随转为公开指责，关系破裂，李密独自前行。,李密；王伯党,21,8,13,1.3333,2.1667,3.5,0,0,
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__009,9,【第十一场】,83,83,86,未明确,未明确,李世民与马三保、段之贤、刘洪基、殷开山一同过场。,过场行进,李世民与四位将领一同过场，显示军队调动或行进，为后续剧情铺垫。,过渡,1,李世民；马三保；段之贤；刘洪基；殷开山,战争；权力集结,过渡,无显著转折，仅为场景转换。,,1,0,0,0.0,0.0,0.0,1,0,
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__010,10,【第十二场】,87,87,96,野外,白天,李世民追赶并劝降王伯党，王伯党拒绝并开打。,劝降与拒绝,李密与王伯党逃亡途中遇李世民追赶，李世民劝王伯党回朝，王伯党誓死不降，双方开打。,冲突,4,李世民；王伯党,忠义；对抗；抉择,对峙,王伯党明确拒绝归降，冲突升级为武力对抗。,李密；王伯党；李世民,8,2,4,0.2,0.4,0.6,2,0,
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__011,11,【第十三场】,97,97,100,,,,命令,,过渡,0,,忠义；战争；亲情；离散,过渡,,,0,0,0,0.0,0.0,0.0,0,0,
pdf_01000000__01004010___47767989be,双投唐,pdf_01000000__01004010___47767989be__scene__012,12,【第十四场】,101,101,103,断密涧,白日,李密与王伯党被射死于断密涧,射杀,李世民下令放箭，李密与王伯党逃至断密涧，发现绝路后被射死。李世民命人处理尸首，率军回朝。,高潮,5,李世民；李密；王伯党；殷开山,忠义；背叛；权力斗争；悲情,高潮,李密与王伯党发现身处绝境断密涧，随即被李世民下令射杀，冲突达到顶点并终结。,李世民；李密；王伯党；殷开山,7,7,0,2.3333,0.0,2.3333,0,0,
