doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01004010___47767989be,双投唐,忠义,10,王伯党未能追上徐勣、魏征，李密怀疑其念及结拜放走二人。王伯党表明忠心，劝李密降唐，李密不舍荣耀，最终同意。,llm
pdf_01000000__01004010___47767989be,双投唐,战争,6,李世民与四位将领一同过场，显示军队调动或行进，为后续剧情铺垫。,llm
pdf_01000000__01004010___47767989be,双投唐,离散,5,# 《双投唐》；# （一名：《双带箭》；一名：《断密涧》）,keyword
pdf_01000000__01004010___47767989be,双投唐,亲情,4,# 《双投唐》；# （一名：《双带箭》；一名：《断密涧》）,keyword
pdf_01000000__01004010___47767989be,双投唐,背叛,3,李密借征剿山西贼寇之机，在饯行宴上杀死河阳公主，与王伯党商议后持圣旨诈出皇城逃亡。,llm
pdf_01000000__01004010___47767989be,双投唐,家国,2,李世民向李渊引荐李密和王伯党，李渊因旧怨欲治罪李密，但被李世民劝服，封李密为魏国公，并提议将河阳公主许配以安其心。,llm
pdf_01000000__01004010___47767989be,双投唐,悲情,2,李密借征剿山西贼寇之机，在饯行宴上杀死河阳公主，与王伯党商议后持圣旨诈出皇城逃亡。,llm
pdf_01000000__01004010___47767989be,双投唐,情爱,2,李世民向李渊引荐李密和王伯党，李渊因旧怨欲治罪李密，但被李世民劝服，封李密为魏国公，并提议将河阳公主许配以安其心。,llm
pdf_01000000__01004010___47767989be,双投唐,抉择,2,王伯党未能追上徐勣、魏征，李密怀疑其念及结拜放走二人。王伯党表明忠心，劝李密降唐，李密不舍荣耀，最终同意。,llm
pdf_01000000__01004010___47767989be,双投唐,权力欲望,2,李密借征剿山西贼寇之机，在饯行宴上杀死河阳公主，与王伯党商议后持圣旨诈出皇城逃亡。,llm
pdf_01000000__01004010___47767989be,双投唐,使命,1,王伯党未能追上徐勣、魏征，李密怀疑其念及结拜放走二人。王伯党表明忠心，劝李密降唐，李密不舍荣耀，最终同意。,llm
pdf_01000000__01004010___47767989be,双投唐,宽恕与和解,1,王伯党引李密降唐，李密因南牢旧仇心存芥蒂，经王伯党劝说后勉强跪拜李世民，李世民承诺不究前嫌，收降李密。,llm
pdf_01000000__01004010___47767989be,双投唐,对抗,1,李密与王伯党逃亡途中遇李世民追赶，李世民劝王伯党回朝，王伯党誓死不降，双方开打。,llm
pdf_01000000__01004010___47767989be,双投唐,悔恨,1,李密与王伯党诈出皇城后，王伯党指责李密杀公主、谋篡，二人激烈争吵，李密打马先行，王伯党悔恨错保无义之王。,llm
pdf_01000000__01004010___47767989be,双投唐,招安与归顺,1,李世民向李渊引荐李密和王伯党，李渊因旧怨欲治罪李密，但被李世民劝服，封李密为魏国公，并提议将河阳公主许配以安其心。,llm
pdf_01000000__01004010___47767989be,双投唐,权力斗争,1,李世民下令放箭，李密与王伯党逃至断密涧，发现绝路后被射死。李世民命人处理尸首，率军回朝。,llm
pdf_01000000__01004010___47767989be,双投唐,权力集结,1,李世民与四位将领一同过场，显示军队调动或行进，为后续剧情铺垫。,llm
pdf_01000000__01004010___47767989be,双投唐,身份与尊严,1,王伯党引李密降唐，李密因南牢旧仇心存芥蒂，经王伯党劝说后勉强跪拜李世民，李世民承诺不究前嫌，收降李密。,llm
pdf_01000000__01004010___47767989be,双投唐,降唐,1,王伯党未能追上徐勣、魏征，李密怀疑其念及结拜放走二人。王伯党表明忠心，劝李密降唐，李密不舍荣耀，最终同意。,llm
