doc_id,doc_title,scene_id,scene_index,scene,conflict_stage,scene_function,tension_level,tension_norm,dialogue_density,lyric_density,speech_density,narrative_turning_point,is_climax,derived_by
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__001,1,【第一场】,铺垫,引子,1,0.2,1.0,0.0,1.0,无转折，为出征前常规点将,0,scene_metrics
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__002,2,【第二场】,发展,推进,3,0.6,0.1618,0.0,0.1618,报子报信触发刘备主动出击的决断,0,scene_metrics
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__003,3,【第三场】,冲突,推进,4,0.8,0.125,0.0,0.125,甘宁中箭败退，蜀方取得战术优势，冲突升级为追击,1,scene_metrics
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__004,4,【第四场】,冲突,推进,4,0.8,0.1852,0.0,0.1852,吴军内部出现叛变意图，众将密谋杀麋芳、傅士仁献功，冲突从外部转向内部,1,scene_metrics
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__005,5,【第五场】,转折,推进,3,0.6,0.3,0.0,0.3,麋芳与傅士仁从被动恐惧转为主动谋杀马忠，意图投敌，冲突升级。,0,scene_metrics
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__006,6,【第六场】,发展,推进,3,0.6,0.4038,0.0,0.4038,孙权得知甘宁阵亡，危机感加剧，为后续决策铺垫,0,scene_metrics
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__007,7,【第七场】,冲突,对峙,4,0.8,2.75,0.0,2.75,刘备拒绝和谈，冲突升级，战争不可避免。,1,scene_metrics
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__008,8,【第八场】,高潮,高潮,5,1.0,1.0,1.1667,2.1667,刘备斩杀糜芳，彻底断绝和议可能，将复仇推向不可逆转,1,scene_metrics
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__009,9,【第九场】,转折,推进,3,0.6,3.3333,0.0,3.3333,孙权从犹豫到决断，任命陆逊为帅，为后续战局转折埋下伏笔。,0,scene_metrics
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__010,10,【第十场】,发展,推进,2,0.4,2.0,0.0,2.0,陆逊被正式授予兵权，标志着吴国对蜀作战的指挥权转移。,0,scene_metrics
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__011,11,【第十一场】,铺垫,铺垫,3,0.6,1.0,0.0,1.0,无转折，但为后续将帅矛盾埋下伏笔。,0,scene_metrics
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__012,12,【第十二场】,冲突,推进,3,0.6,0.3333,0.0,0.3333,陆逊坚持先破蜀后救孙桓，引发部下不满，为后续内部矛盾埋下伏笔,0,scene_metrics
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__013,13,【第十三场】,发展,推进,3,0.6,0.3594,0.0,0.3594,刘备固执己见，拒绝马良建议，埋下败局隐患,0,scene_metrics
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__014,14,【第十四场】,发展,推进,3,0.6,0.12,0.0,0.12,陆逊发现刘备移营的破绽，决定火攻，冲突升级,0,scene_metrics
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__015,15,【第十五场】,铺垫,引子,1,0.2,0.0,0.0,0.0,无显著转折，仅为过渡性出场。,0,scene_metrics
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__016,16,【第十六场】,高潮,推进,4,0.8,0.1875,0.0,0.1875,陆逊下达火攻命令，标志着战术决断和冲突升级。,1,scene_metrics
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__017,17,【第十七场】,高潮,推进,5,1.0,1.3,0.0,1.3,从预警到火起，冲突急剧升级，刘备从准备应对转为陷入被动,1,scene_metrics
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__018,18,【第十八场】,收束,收束,4,0.8,0.8,0.0,0.8,刘备彻底承认失败，情绪从愤怒转向绝望，为后续退兵或死亡铺垫。,1,scene_metrics
