doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01004001___ad83d28842,逍遥津,忠义,9,张辽自述心怀不满，因献帝懦弱而欲推倒龙床，扶保曹操登基，并召集文武两班商议。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,权力斗争,5,夏侯渊奉曹操之命巡查御街，发现穆顺深夜出宫前往伏相府，怀疑有奸诈，决定报与曹操。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,权谋,4,张辽召集众臣商议推倒汉献帝，扶保曹操登基，荀攸反对后气死，曹操假意斥责并安排后事，提及东吴西蜀未平。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,亲情,3,华歆带剑入宫抓捕伏后与二皇子，曹妃劝阻未果，汉献帝无力保护，最终与二皇子出宫寻找伏后。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,家国,3,张辽自述心怀不满，因献帝懦弱而欲推倒龙床，扶保曹操登基，并召集文武两班商议。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,悲情,2,汉献帝在朝堂上称赞曹操忠心，曹操却指出东吴孙权与西蜀刘备为后患，暗示朝中危机。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,公案,1,# 《逍遥津》 （一名：《搜诏逼宫》）,keyword
pdf_01000000__01004001___ad83d28842,逍遥津,情爱,1,# 《逍遥津》 （一名：《搜诏逼宫》）,keyword
pdf_01000000__01004001___ad83d28842,逍遥津,战争,1,# 《逍遥津》 （一名：《搜诏逼宫》）,keyword
pdf_01000000__01004001___ad83d28842,逍遥津,斩草除根,1,华歆擒获伏后，曹操怒斥并下令乱棍打死，司马懿求情未果，华歆建议斩草除根，曹操决定进宫诛杀伏后二子。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,权力博弈,1,汉献帝在朝堂上称赞曹操忠心，曹操却指出东吴孙权与西蜀刘备为后患，暗示朝中危机。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,权力野心,1,张辽自述心怀不满，因献帝懦弱而欲推倒龙床，扶保曹操登基，并召集文武两班商议。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,残暴,1,华歆擒获伏后，曹操怒斥并下令乱棍打死，司马懿求情未果，华歆建议斩草除根，曹操决定进宫诛杀伏后二子。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,皇权衰落,1,华歆带剑入宫抓捕伏后与二皇子，曹妃劝阻未果，汉献帝无力保护，最终与二皇子出宫寻找伏后。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,离散,1,# 《逍遥津》 （一名：《搜诏逼宫》）,keyword
pdf_01000000__01004001___ad83d28842,逍遥津,篡位,1,张辽召集众臣商议推倒汉献帝，扶保曹操登基，荀攸反对后气死，曹操假意斥责并安排后事，提及东吴西蜀未平。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,虚伪,1,张辽召集众臣商议推倒汉献帝，扶保曹操登基，荀攸反对后气死，曹操假意斥责并安排后事，提及东吴西蜀未平。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,试探,1,穆顺前往相府探访，与院子短暂对话后，与伏完分别下场，为后续剧情埋下伏笔。,llm
