doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01004011___c0be635aa4,飞虎山,1,【第一场】,【第一场】,思亲,思亲,1,安敬思,安敬思独自上场，以引子形式抒发思亲之痛与愁苦之情，为后续剧情铺垫人物内心状态。,llm
pdf_01000000__01004011___c0be635aa4,飞虎山,1,【第一场】,【第一场】,愁苦,愁苦,1,安敬思,安敬思独自上场，以引子形式抒发思亲之痛与愁苦之情，为后续剧情铺垫人物内心状态。,llm
pdf_01000000__01004011___c0be635aa4,飞虎山,2,【第二场】,【第二场】,军事行动,战争,1,四将；李克用,李克用点兵，四将汇报人马齐备，李克用下令发兵郊外，为出征做准备。,llm
pdf_01000000__01004011___c0be635aa4,飞虎山,2,【第二场】,【第二场】,权力与服从,权力与服从,1,四将；李克用,李克用点兵，四将汇报人马齐备，李克用下令发兵郊外，为出征做准备。,llm
pdf_01000000__01004011___c0be635aa4,飞虎山,3,【第三场】,【第三场】,天命,使命,1,四龙套；土地；李克用,土地奉玉帝之命化身樵夫，引李克用前往飞虎岗，以应其梦兆。李克用因梦兆而决定前往，剧情由此推进。,llm
pdf_01000000__01004011___c0be635aa4,飞虎山,3,【第三场】,【第三场】,梦兆,梦兆,1,四龙套；土地；李克用,土地奉玉帝之命化身樵夫，引李克用前往飞虎岗，以应其梦兆。李克用因梦兆而决定前往，剧情由此推进。,llm
pdf_01000000__01004011___c0be635aa4,飞虎山,3,【第三场】,【第三场】,引路,引路,1,四龙套；土地；李克用,土地奉玉帝之命化身樵夫，引李克用前往飞虎岗，以应其梦兆。李克用因梦兆而决定前往，剧情由此推进。,llm
pdf_01000000__01004011___c0be635aa4,飞虎山,4,【第四场】,【第四场】,收降,收降,1,周德威；四龙套；安敬思；李克用；李嗣源,安敬思打虎后与李克用相遇，李克用收其为义子并改名李存孝，询问其武艺韬略。,llm
pdf_01000000__01004011___c0be635aa4,飞虎山,4,【第四场】,【第四场】,忠义,忠义,1,周德威；四龙套；安敬思；李克用；李嗣源,安敬思打虎后与李克用相遇，李克用收其为义子并改名李存孝，询问其武艺韬略。,llm
pdf_01000000__01004011___c0be635aa4,飞虎山,4,【第四场】,【第四场】,英雄相惜,英雄相惜,1,周德威；四龙套；安敬思；李克用；李嗣源,安敬思打虎后与李克用相遇，李克用收其为义子并改名李存孝，询问其武艺韬略。,llm
pdf_01000000__01004011___c0be635aa4,飞虎山,0,序幕/前置内容,序幕/前置内容,忠义,忠义,1,,# 《飞虎山》,keyword
pdf_01000000__01004011___c0be635aa4,飞虎山,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《飞虎山》,keyword
pdf_01000000__01004011___c0be635aa4,飞虎山,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《飞虎山》,keyword
pdf_01000000__01004011___c0be635aa4,飞虎山,0,序幕/前置内容,序幕/前置内容,公案,公案,1,,# 《飞虎山》,keyword
pdf_01000000__01004011___c0be635aa4,飞虎山,0,序幕/前置内容,序幕/前置内容,情爱,情爱,1,,# 《飞虎山》,keyword
