doc_id,doc_title,scene_id,scene_index,scene,conflict_stage,scene_function,tension_level,tension_norm,dialogue_density,lyric_density,speech_density,narrative_turning_point,is_climax,derived_by
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__001,1,【第一场】,铺垫,引子,1,0.2,0.25,0.0,0.25,无转折，为后续剧情做铺垫。,0,scene_metrics
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__002,2,【第二场】,铺垫,推进,2,0.4,0.5556,0.0,0.5556,无转折，为后续战斗做军事部署。,0,scene_metrics
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__003,3,【第三场】,冲突,推进,4,0.8,3.375,0.25,3.625,张辽报信使吕布从醉乐转入备战，冲突升级。,1,scene_metrics
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__004,4,【第四场】,冲突,推进,4,0.8,0.25,0.0,0.25,无显著转折，冲突直接升级为混战,1,scene_metrics
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__005,5,【第五场】,冲突,推进,4,0.8,0.5,0.0,0.5,张辽被擒，战局急转直下,1,scene_metrics
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__006,6,【第六场】,收束,收束,3,0.6,0.125,0.0,0.125,貂蝉从悲呼到被擒，标志其命运由主动转向被动，为后续处置埋下伏笔。,0,scene_metrics
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__007,7,【第七场】,收束,收束,3,0.6,0.125,0.0,0.125,陈宫从悲叹状态突遭擒拿，情节急转直下，标志其命运终结。,0,scene_metrics
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__008,8,【第八场】,高潮,高潮,5,1.0,0.1111,0.1111,0.2222,吕布从犹豫到决意死战，但随即被擒，剧情急转直下。,1,scene_metrics
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__scene__009,9,【第九场】,高潮,高潮,5,1.0,0.9101,0.1461,1.0562,刘备以丁原、董卓故事提醒曹操，促使曹操决定斩杀吕布，导致吕布命运转折,1,scene_metrics
