doc_id,doc_title,scene_id,scene_index,scene,line_no,start_line,end_line,location,time_hint,main_event,dominant_action,summary,conflict_stage,tension_level,key_characters,theme_labels,scene_function,narrative_turning_point,characters_present,line_count,dialogue_count,lyric_count,dialogue_density,lyric_density,speech_density,stage_direction_count,narration_count,llm_error
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__000,0,序幕/前置内容,1,1,34,,,# 《洪羊洞》；# （一名：《孟良盗骨》；一名：《三星归位》）,命令,# 《洪羊洞》；# （一名：《孟良盗骨》；一名：《三星归位》）,铺垫,0,,忠义；战争；情爱；离散,引子,,,2,0,0,0.0,0.0,0.0,0,2,
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__001,1,【第一场】,35,35,46,不明,死后,杨继业鬼魂登场，自述忠魂身份。,念白,杨继业以鬼魂身份登场，念白表明其忠魂不灭，为后续剧情铺垫。,铺垫,1,杨继业,忠义；幽冥,引子,无转折，仅为角色引入。,杨继业,5,1,0,0.0833,0.0,0.0833,3,1,
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__002,2,【第二场】,47,47,58,宋营帐中,二更至三更,杨继业托兆揭示真骨所在，杨延昭命孟良二次盗骨,托梦与下令,杨延昭梦父杨继业托兆，告知前次盗骨为假，真骨在洪羊洞望乡台第三层，遂命孟良二下番营盗骨。,发展,3,杨延昭；杨继业；孟良,忠义；托梦；盗骨,推进,发现前次盗骨为假，引出新的盗骨任务,杨继业；杨延昭；家院；孟良,24,21,0,1.75,0.0,1.75,2,1,
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__003,3,【第三场】,59,59,84,焦赞府邸,孟良二下番营之后,家院向焦赞透露真骨所在，焦赞决定私自前往盗骨。,焦赞得知真相后，假病瞒主，策马争功。,家院告知焦赞，孟良所盗骨殖为假，真骨在洪羊洞望乡台。焦赞不满元帅只派孟良，假称染病，私自前往争功。,发展,3,家院；焦赞,忠义；争功；情爱,推进,焦赞发现孟良盗回假骨，并得知真骨位置，决定独自行动，引发后续冲突。,焦赞；家院,18,9,1,0.3462,0.0385,0.3846,4,4,
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__004,4,【第四场】,85,85,90,未知,,孟良上场,上场,孟良独自上场，准备执行任务，为后续剧情发展做铺垫。,铺垫,1,孟良,忠义；使命,引子,无显著转折,,2,0,0,0.0,0.0,0.0,1,1,
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__005,5,【第五场】,91,91,96,,,焦赞上场,上场,焦赞独自上场，未见其他角色，本场为简短过渡，未展开具体情节或冲突。,过渡,1,焦赞,情爱,过渡,无显著转折,,2,0,0,0.0,0.0,0.0,1,1,
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__006,6,【第六场】,97,97,106,洪羊洞附近,夜晚,孟良从程宣处获知洪羊洞位置，程宣察觉焦赞意图不轨,盘问与报信,孟良盘问更夫程宣，得知洪羊洞位置，并承诺带其回南朝。焦赞随后追来，程宣怀疑其欲害孟良，决定从小道报信。,发展,3,孟良；程宣；焦赞,忠义；使命；身份认同,推进,程宣决定从小道为孟良报信，埋下后续冲突伏笔,孟良；程宣；焦赞,18,17,0,1.7,0.0,1.7,1,0,
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__007,7,【第七场】,107,107,112,洪羊洞,无明确时间,孟良自刎，程宣掩埋并离去,自刎与掩埋,孟良因误杀焦赞而羞愧自刎，程宣掩埋二人后，骑走两匹马离去。,收束,3,孟良；程宣,忠义；羞愧；悲情,收束,孟良自刎，完成焦赞之死的后续悲剧收场,孟良；程宣,3,3,0,0.5,0.0,0.5,0,0,
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__008,8,【第八场】,113,113,118,帅府,白天,程宣呈报孟良、焦赞双双死于洪羊洞，杨延昭悲痛欲绝。,汇报与悲痛,程宣送来孟良盗取的令公尸骨，并告知孟良误杀焦赞后自刎洪羊洞，杨延昭闻讯悲痛呕血。,高潮,5,杨延昭；程宣,忠义；悲情；牺牲,高潮,杨延昭得知两位结义兄弟惨死，情绪崩溃，预示其身体与精神双重危机。,杨延昭；家院；程宣,37,37,0,6.1667,0.0,6.1667,0,0,
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__009,9,【第九场】,119,119,124,未知,,赵德芳登场,登场,赵德芳在太监簇拥下登场，为后续剧情铺垫，未见明显冲突或推进。,铺垫,1,赵德芳,宫廷；权力,引子,无转折,,1,0,0,0.0,0.0,0.0,1,0,
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__010,10,【第十场】,125,125,223,杨府病房,杨延昭病重期间,杨延昭病逝，临终托付后事,杨延昭诉说病情与遗言,杨延昭病重，向赵德芳诉说因焦孟二将丧命而忧成病，临终前嘱托柴夫人侍奉母亲，并教训宗保忠心报国，最终去世。,高潮,5,杨延昭；赵德芳；佘太君；柴夫人；杨宗保,忠义；悲情；使命；忠义,高潮,杨延昭去世，剧情进入收束阶段,杨延昭；赵德芳；杨宗保；佘太君；柴夫人,65,44,0,0.4444,0.0,0.4444,2,19,
