doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01003017___51aaa5bf95,独木关,1,【第一场】,【第一场】,将帅矛盾,将帅矛盾,1,中军；众伙头军；周青；四龙套；张士贵；薛礼,张士贵因中军被伙头军殴打，前往月字营探病薛礼，薛礼抱病相见，张士贵假意慰问。,llm
pdf_01000000__01003017___51aaa5bf95,独木关,1,【第一场】,【第一场】,权谋,权谋,1,中军；众伙头军；周青；四龙套；张士贵；薛礼,张士贵因中军被伙头军殴打，前往月字营探病薛礼，薛礼抱病相见，张士贵假意慰问。,llm
pdf_01000000__01003017___51aaa5bf95,独木关,1,【第一场】,【第一场】,英雄困境,英雄困境,1,中军；众伙头军；周青；四龙套；张士贵；薛礼,张士贵因中军被伙头军殴打，前往月字营探病薛礼，薛礼抱病相见，张士贵假意慰问。,llm
pdf_01000000__01003017___51aaa5bf95,独木关,2,【第二场】,【第二场】,战争,战争,1,周青；蓝天弼,四龙套与蓝天弼、周青同上，双方开打，随即同下，为后续战斗铺垫。,llm
pdf_01000000__01003017___51aaa5bf95,独木关,2,【第二场】,【第二场】,冲突,冲突,1,周青；蓝天弼,四龙套与蓝天弼、周青同上，双方开打，随即同下，为后续战斗铺垫。,llm
pdf_01000000__01003017___51aaa5bf95,独木关,3,【第三场】,【第三场】,忠勇,忠义,1,二老军；薛礼,薛礼病中听闻周青等不敌辽将安殿宝，不顾劝阻决意带病出战。,llm
pdf_01000000__01003017___51aaa5bf95,独木关,3,【第三场】,【第三场】,病中抗争,悲情,1,二老军；薛礼,薛礼病中听闻周青等不敌辽将安殿宝，不顾劝阻决意带病出战。,llm
pdf_01000000__01003017___51aaa5bf95,独木关,3,【第三场】,【第三场】,责任,使命,1,二老军；薛礼,薛礼病中听闻周青等不敌辽将安殿宝，不顾劝阻决意带病出战。,llm
pdf_01000000__01003017___51aaa5bf95,独木关,4,【第四场】,【第四场】,忠奸对立,忠义,1,何宗宪；安殿宝；张志龙,何宗宪与张志龙被安殿宝俘虏，何宗宪假充薛礼被识破，安殿宝下令将二人绑缚，待擒薛礼后一同处斩。,llm
pdf_01000000__01003017___51aaa5bf95,独木关,4,【第四场】,【第四场】,身份伪装,身份伪装,1,何宗宪；安殿宝；张志龙,何宗宪与张志龙被安殿宝俘虏，何宗宪假充薛礼被识破，安殿宝下令将二人绑缚，待擒薛礼后一同处斩。,llm
pdf_01000000__01003017___51aaa5bf95,独木关,4,【第四场】,【第四场】,生死考验,悲情,1,何宗宪；安殿宝；张志龙,何宗宪与张志龙被安殿宝俘虏，何宗宪假充薛礼被识破，安殿宝下令将二人绑缚，待擒薛礼后一同处斩。,llm
pdf_01000000__01003017___51aaa5bf95,独木关,5,【第五场】,【第五场】,战争,战争,1,周青；安殿宝,周青与伙头军对阵安殿宝及龙套，双方交战开打，战斗场面激烈，冲突直接爆发。,llm
